,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Grand Theft Auto V,PlayStation 3,2013.0,Modern,Rockstar Games  ,6.37,9.85,0.99,3.12,20.33,97.0,50.0,8.3,4779.0,Rockstar North,M
1,Grand Theft Auto V,PlayStation 4,2014.0,Action Adventure,Rockstar Games  ,6.06,9.71,0.6,3.02,19.39,97.0,66.0,8.4,6864.0,Rockstar North,M
2,Grand Theft Auto: Vice City,PlayStation 2,2002.0,Action Adventure,Rockstar Games  ,8.41,5.49,0.47,1.78,16.150000000000002,95.0,62.0,8.8,1254.0,Rockstar North,M
3,Grand Theft Auto V,Xbox 360,2013.0,Modern,Rockstar Games  ,9.06,5.33,0.06,1.42,15.870000000000001,97.0,58.0,8.3,4026.0,Rockstar North,M
4,Grand Theft Auto III,PlayStation 2,2001.0,Action Adventure,Rockstar Games  ,6.99,4.51,0.3,1.3,13.100000000000001,97.0,56.0,8.4,1010.0,DMA Design,M
5,Grand Theft Auto IV,Xbox 360,2008.0,Action Adventure,Rockstar Games  ,6.8,3.11,0.14,1.04,11.09,98.0,86.0,7.9,3543.0,Rockstar North,M
6,Grand Theft Auto IV,PlayStation 3,2008.0,Action Adventure,Rockstar Games  ,4.79,3.73,0.44,1.62,10.579999999999998,98.0,64.0,7.8,4354.0,Rockstar North,M
7,Grand Theft Auto V,Xbox One,2014.0,Action Adventure,Rockstar Games  ,4.7,3.25,0.01,0.76,8.72,97.0,14.0,7.8,1556.0,Rockstar North,M
8,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action Adventure,Rockstar Games  ,2.9,2.83,0.24,1.74,7.710000000000001,88.0,65.0,7.8,579.0,"Rockstar North, Rockstar Leeds",M
9,Uncharted 2: Among Thieves,PlayStation 3,2009.0,Action Adventure,Sony Computer Entertainment  ,3.28,2.22,0.21,1.02,6.73,96.0,105.0,8.8,7203.0,Naughty Dog,T
10,Red Dead Redemption,PlayStation 3,2011.0,Action,Rockstar Games  ,2.82,2.58,0.17,1.0,6.57,95.0,73.0,8.9,3638.0,Rockstar San Diego,M
11,Red Dead Redemption,Xbox 360,2010.0,Action,Rockstar Games  ,3.77,2.03,0.09,0.6,6.489999999999999,95.0,96.0,9.0,3030.0,Rockstar San Diego,M
12,Driver,PlayStation,1999.0,Driving,GT Interactive  ,3.11,2.8,0.02,0.33,6.26,87.0,22.0,8.0,145.0,Reflections Interactive,T
13,Uncharted: The Nathan Drake Collection,PlayStation 4,2015.0,Miscellaneous,Sony Computer Entertainment  ,2.55,2.11,0.1,0.94,5.699999999999999,86.0,78.0,8.5,3055.0,Bluepoint Games,T
14,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts  ,3.57,1.57,0.0,0.52,5.66,80.0,17.0,8.7,113.0,Traveller's Tales,E10+
15,Assassin's Creed II,PlayStation 3,2009.0,Action Adventure,Ubisoft  ,2.54,1.95,0.21,0.86,5.5600000000000005,91.0,70.0,8.7,1907.0,Ubisoft Montreal,M
16,Assassin's Creed,Xbox 360,2007.0,Action Adventure,Ubisoft  ,3.28,1.64,0.07,0.56,5.550000000000001,81.0,77.0,7.6,1370.0,Ubisoft Montreal,M
17,Batman: Arkham City,PlayStation 3,2011.0,Action Adventure,Warner Bros. Interactive  ,2.72,1.89,0.11,0.82,5.540000000000001,96.0,42.0,8.8,3061.0,Rocksteady Studios,T
18,Assassin's Creed II,Xbox 360,2009.0,Action Adventure,Ubisoft  ,3.14,1.55,0.08,0.52,5.290000000000001,90.0,82.0,8.8,1769.0,Ubisoft Montreal,M
19,Resident Evil 5,PlayStation 3,2009.0,Action Adventure,Capcom  ,1.96,1.42,1.08,0.64,5.1,84.0,76.0,7.4,902.0,Capcom,M
20,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action Adventure,Rockstar Games  ,1.7,2.03,0.16,1.19,5.08,86.0,50.0,8.2,274.0,Rockstar Leeds,M
21,Uncharted: Drake's Fortune,PlayStation 3,2007.0,Action Adventure,Sony Computer Entertainment  ,2.32,1.73,0.12,0.8,4.97,88.0,66.0,7.9,3642.0,"Naughty Dog, SCE/WWS",T
22,Assassin's Creed,PlayStation 3,2007.0,Action Adventure,Ubisoft  ,1.91,2.01,0.09,0.82,4.83,81.0,40.0,7.3,1075.0,Ubisoft Montreal,M
23,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts  ,2.83,1.49,0.0,0.45,4.7700000000000005,80.0,9.0,6.4,75.0,TT Fusion,E
24,Batman: Arkham City,Xbox 360,2011.0,Action Adventure,Warner Bros. Interactive  ,2.99,1.28,0.04,0.44,4.750000000000001,94.0,87.0,8.8,1767.0,Rocksteady Studios,T
25,Driver 2,PlayStation,2000.0,Driving,Atari  ,2.36,2.1,0.02,0.25,4.7299999999999995,62.0,14.0,7.7,148.0,Reflections Interactive,T
26,The Lord of the Rings: The Two Towers,PlayStation 2,2002.0,Action,Electronic Arts  ,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.1,121.0,Stormfront Studios,T
27,Tomb Raider,PlayStation,1996.0,Action Adventure,Eidos Interactive  ,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.4,281.0,Core Design Ltd.,T
28,Spider-Man: The Movie,PlayStation 2,2002.0,Action Adventure,Activision  ,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.7,72.0,Treyarch,E
29,Batman: Arkham Asylum,PlayStation 3,2009.0,Action Adventure,Eidos Interactive  ,2.26,1.33,0.07,0.63,4.29,91.0,70.0,8.8,1645.0,Rocksteady Studios,T
30,Assassin's Creed: Revelations,PlayStation 3,2011.0,Action Adventure,Ubisoft  ,1.41,2.03,0.1,0.69,4.2299999999999995,80.0,39.0,7.6,815.0,Ubisoft Montreal,M
31,Assassin's Creed: Revelations,Xbox 360,2011.0,Action Adventure,Ubisoft  ,2.28,1.47,0.04,0.44,4.23,80.0,77.0,7.3,711.0,Ubisoft Montreal,M
32,Batman: Arkham Knight,PlayStation 4,2015.0,General,Warner Bros. Interactive  ,1.65,1.68,0.11,0.66,4.1,87.0,89.0,7.9,4388.0,Rocksteady Studios,M
33,Assassin's Creed Origins,PlayStation 4,2017.0,Action Adventure,Ubisoft  ,1.22,2.11,0.11,0.63,4.07,81.0,63.0,7.2,2994.0,"Ubisoft, Ubisoft Montreal",M
34,Far Cry 5,PlayStation 4,2018.0,Action,Ubisoft  ,1.44,1.73,0.15,0.62,3.94,81.0,83.0,6.8,2036.0,Ubisoft Montreal,M
35,Assassin's Creed Syndicate,PlayStation 4,2015.0,Historic,Ubisoft  ,0.9,2.06,0.08,0.55,3.59,76.0,86.0,6.9,2104.0,Ubisoft Quebec,M
36,Grand Theft Auto: Liberty City Stories,PlayStation 2,2006.0,Action Adventure,Rockstar Games  ,1.56,1.4,0.07,0.5,3.53,78.0,49.0,7.9,182.0,Rockstar Leeds,M
37,The Getaway,PlayStation 2,2003.0,Action Adventure,Sony Computer Entertainment  ,1.23,1.77,0.05,0.49,3.54,72.0,49.0,7.0,110.0,Team Soho,M
38,Batman: Arkham Asylum,Xbox 360,2009.0,Action Adventure,Eidos Interactive  ,2.24,0.95,0.02,0.33,3.5400000000000005,92.0,78.0,8.7,1329.0,Rocksteady Studios,T
39,Assassin's Creed: Brotherhood,Xbox 360,2010.0,Action Adventure,Ubisoft  ,2.87,0.39,0.03,0.25,3.54,89.0,81.0,8.4,872.0,Ubisoft Montreal,M
40,Resident Evil 5,Xbox 360,2009.0,Action Adventure,Capcom  ,2.13,0.93,0.12,0.34,3.52,83.0,91.0,7.4,679.0,Capcom,M
41,Grand Theft Auto 2,PlayStation,1999.0,Action Adventure,Rockstar Games  ,1.13,2.07,0.0,0.22,3.42,70.0,15.0,7.7,124.0,DMA Design,T
42,Spider-Man 2,PlayStation 2,2004.0,Action Adventure,Activision  ,1.75,1.2,0.02,0.43,3.4000000000000004,80.0,50.0,8.7,239.0,Treyarch,T
43,Watch Dogs 2,PlayStation 4,2016.0,Action Adventure,Ubisoft  ,0.98,1.74,0.12,0.52,3.36,82.0,95.0,7.6,1724.0,Ubisoft Montreal,M
44,Star Wars Episode III: Revenge of the Sith,PlayStation 2,2005.0,Action Adventure,LucasArts  ,1.47,1.39,0.03,0.43,3.32,60.0,34.0,7.3,113.0,Double Helix Games,T
45,The Lord of the Rings: The Return of the King,PlayStation 2,2003.0,Action,Electronic Arts  ,1.5,1.28,0.05,0.46,3.29,85.0,31.0,8.6,175.0,EA Games,T
46,True Crime: Streets of LA,PlayStation 2,2003.0,Action Adventure,Activision  ,1.89,1.05,0.02,0.31,3.27,77.0,39.0,7.8,112.0,"Luxoflux, Inc.",M
47,Enter the Matrix,PlayStation 2,2003.0,Action Adventure,Atari  ,1.78,1.12,0.09,0.19,3.18,62.0,30.0,8.2,157.0,Shiny Entertainment,T
48,Spider-Man,PlayStation,2000.0,Action Adventure,Activision  ,1.7,1.25,0.02,0.16,3.1300000000000003,87.0,19.0,8.6,265.0,Neversoft Entertainment,E
49,Resident Evil 6,PlayStation 3,2012.0,Action Adventure,Capcom  ,0.88,0.97,0.88,0.39,3.12,74.0,34.0,5.6,1519.0,Capcom,M
50,Saints Row 2,Xbox 360,2008.0,Action Adventure,THQ  ,1.98,0.79,0.02,0.28,3.0700000000000003,81.0,75.0,8.2,371.0,Volition Inc.,M
51,Metal Gear Solid V: The Phantom Pain,PlayStation 4,2015.0,Modern,Konami Digital Entertainment  ,0.97,1.15,0.5,0.42,3.04,93.0,86.0,8.2,5963.0,"Kojima Productions, Moby Dick Studio",M
52,Tom Clancy's Splinter Cell,Xbox,2002.0,Action Adventure,Ubisoft  ,1.85,1.04,0.0,0.13,3.02,93.0,46.0,8.6,149.0,Ubisoft Montreal,T
53,Hitman 2: Silent Assassin,PlayStation 2,2002.0,Action Adventure,Eidos Interactive  ,1.36,1.15,0.04,0.41,2.96,85.0,19.0,8.0,101.0,Io Interactive,M
54,Assassin's Creed: Brotherhood,PlayStation 3,2010.0,Action Adventure,Ubisoft  ,1.87,0.57,0.11,0.3,2.8499999999999996,90.0,59.0,8.3,1186.0,Ubisoft Montreal,M
55,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision  ,1.35,1.15,0.0,0.3,2.8,81.0,11.0,5.9,50.0,Toys for Bob,E10+
56,Star Wars: The Force Unleashed,Xbox 360,2008.0,Action,LucasArts  ,1.74,0.78,0.0,0.26,2.7800000000000002,73.0,74.0,6.8,490.0,LucasArts,T
57,Saints Row: The Third,Xbox 360,2011.0,Action Adventure,THQ  ,1.26,1.14,0.07,0.3,2.7699999999999996,84.0,70.0,7.7,533.0,Volition Inc.,M
58,LEGO Star Wars II: The Original Trilogy,PlayStation 2,2006.0,Action Adventure,LucasArts  ,1.85,0.64,0.01,0.19,2.69,84.0,32.0,8.7,75.0,Traveller's Tales,E10+
60,Tom Clancy's Splinter Cell,PlayStation 2,2003.0,Action Adventure,Ubisoft  ,1.15,1.11,0.0,0.4,2.6599999999999997,89.0,24.0,7.9,135.0,Ubisoft Shanghai,T
61,LEGO Star Wars: The Complete Saga,Xbox 360,2007.0,Action,LucasArts  ,1.53,0.83,0.0,0.24,2.5999999999999996,80.0,24.0,8.0,225.0,Traveller's Tales,E10+
62,Saints Row: The Third,PlayStation 3,2011.0,Action Adventure,THQ  ,0.86,1.06,0.18,0.37,2.47,82.0,50.0,7.8,443.0,Volition Inc.,M
63,Assassin's Creed Origins,Xbox One,2017.0,Action Adventure,Ubisoft  ,1.34,0.92,0.0,0.22,2.4800000000000004,85.0,42.0,7.7,824.0,"Ubisoft, Ubisoft Montreal",M
64,Dying Light,PlayStation 4,2015.0,Horror,Warner Bros. Interactive  ,1.18,0.74,0.13,0.4,2.4499999999999997,74.0,58.0,8.0,1708.0,Techland,M
65,Dead Island,Xbox 360,2011.0,Action Adventure,Deep Silver  ,1.48,0.7,0.0,0.21,2.3899999999999997,71.0,75.0,6.9,658.0,Techland,M
66,The Incredibles,PlayStation 2,2004.0,Action Adventure,THQ  ,0.96,1.08,0.04,0.3,2.38,62.0,36.0,7.8,38.0,Heavy Iron Studios,T
67,Uncharted: The Lost Legacy,PlayStation 4,2017.0,Action,Sony Interactive Entertainment  ,0.58,1.38,0.04,0.36,2.36,84.0,104.0,8.0,1986.0,Naughty Dog,T
69,LEGO Star Wars: The Complete Saga,PlayStation 3,2007.0,Action,LucasArts  ,1.02,0.93,0.0,0.36,2.31,80.0,18.0,7.2,118.0,Traveller's Tales,E10+
70,Dead Island,PlayStation 3,2011.0,Action Adventure,Deep Silver  ,1.08,0.74,0.15,0.32,2.29,71.0,41.0,6.6,445.0,Techland,M
71,Star Wars: The Force Unleashed,PlayStation 3,2008.0,Action,LucasArts  ,1.01,0.86,0.0,0.35,2.22,71.0,47.0,6.8,294.0,LucasArts,T
72,Metal Gear Solid: Peace Walker,PSP,2010.0,Action Adventure,Konami  ,0.46,0.42,0.96,0.25,2.09,89.0,66.0,8.7,662.0,Kojima Productions,T
73,The Incredibles,Game Boy Advance,2004.0,Action Adventure,THQ  ,1.15,0.77,0.04,0.1,2.06,55.0,13.0,5.3,6.0,Helixe,E
74,Hitman: Absolution,PlayStation 3,2012.0,Action Adventure,Square Enix  ,0.59,1.08,0.07,0.32,2.06,83.0,30.0,7.5,592.0,Io Interactive,M
75,Tom Clancy's Splinter Cell: Conviction,Xbox 360,2010.0,Action Adventure,Ubisoft  ,1.2,0.62,0.04,0.19,2.05,85.0,90.0,7.7,673.0,Ubisoft Montreal,M
76,Peter Jackson's King Kong: The Official Game of the Movie,PlayStation 2,2005.0,Action Adventure,Ubisoft  ,0.71,1.02,0.0,0.31,2.04,82.0,41.0,8.4,106.0,Ubisoft Montpellier,T
77,Tenchu: Stealth Assassins,PlayStation,1998.0,Action Adventure,Activision  ,0.95,0.64,0.27,0.13,1.9899999999999998,87.0,14.0,8.7,92.0,Acquire,M
78,Resident Evil 6,Xbox 360,2012.0,Action Adventure,Capcom  ,1.12,0.61,0.07,0.16,1.96,67.0,71.0,5.2,1519.0,Capcom,M
79,Dishonored 2,PlayStation 4,2016.0,Action Adventure,Bethesda Softworks  ,0.62,1.02,0.01,0.31,1.9600000000000002,88.0,62.0,8.1,1414.0,Arkane Studios,M
80,Grand Theft Auto: San Andreas,Xbox,2005.0,Action Adventure,Rockstar Games  ,1.26,0.61,0.0,0.09,1.9600000000000002,93.0,58.0,8.8,184.0,Rockstar North,AO
81,Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts  ,1.11,0.56,0.0,0.19,1.86,71.0,18.0,8.0,87.0,Krome Studios,T
82,The Evil Within,PlayStation 4,2014.0,Horror,Bethesda Softworks  ,0.56,0.9,0.11,0.28,1.85,75.0,65.0,7.7,1868.0,Tango Gameworks,M
83,Phineas and Ferb,DS,2009.0,Action,Disney Interactive Studios  ,1.33,0.37,0.0,0.15,1.85,80.0,4.0,5.0,13.0,Altron,E
84,LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action Adventure,LucasArts  ,1.01,0.62,0.0,0.15,1.7799999999999998,76.0,7.0,8.1,22.0,Traveller's Tales,E10+
85,The Getaway: Black Monday,PlayStation 2,2005.0,Action Adventure,Sony Computer Entertainment  ,0.39,1.01,0.02,0.36,1.7799999999999998,57.0,53.0,7.8,60.0,SCEE London Studio,M
86,Far Cry 5,Xbox One,2018.0,Action,Ubisoft  ,1.14,0.47,0.0,0.17,1.7799999999999998,82.0,32.0,6.9,495.0,Ubisoft Montreal,M
87,50 Cent: Bulletproof,PlayStation 2,2005.0,Action Adventure,Vivendi Games  ,0.85,0.76,0.0,0.16,1.7699999999999998,47.0,21.0,6.6,140.0,Genuine Games,M
88,State of Emergency,PlayStation 2,2002.0,Action,Rockstar Games  ,0.86,0.67,0.0,0.22,1.75,71.0,34.0,6.3,34.0,VIS Entertainment,M
89,Kinect Star Wars,Xbox 360,2012.0,Action,Microsoft Studios  ,1.05,0.53,0.03,0.15,1.76,55.0,61.0,3.8,154.0,Terminal Reality,T
90,Just Cause 2,PlayStation 3,2010.0,Action Adventure,Square Enix  ,0.45,0.92,0.06,0.32,1.7500000000000002,83.0,66.0,8.0,336.0,Avalanche Studios,M
91,For Honor,PlayStation 4,2017.0,Action Adventure,Ubisoft  ,0.73,0.66,0.07,0.28,1.7400000000000002,78.0,59.0,6.1,1097.0,Ubisoft Montreal,M
92,Hitman: Absolution,Xbox 360,2012.0,Action Adventure,Square Enix  ,0.68,0.88,0.01,0.13,1.7000000000000002,79.0,51.0,7.2,514.0,Io Interactive,M
94,Saints Row IV,Xbox 360,2013.0,Action Adventure,Deep Silver  ,1.01,0.51,0.01,0.15,1.68,81.0,42.0,6.6,355.0,Volition Inc.,M
95,Harry Potter and the Sorcerer's Stone,Game Boy Advance,2001.0,Action Adventure,Electronic Arts  ,0.87,0.66,0.08,0.08,1.6900000000000002,64.0,8.0,7.4,13.0,Griptonite Games,E
96,Saints Row 2,PlayStation 3,2008.0,Action Adventure,THQ  ,0.88,0.54,0.02,0.24,1.68,82.0,50.0,8.0,176.0,Volition Inc.,M
97,Star Wars The Clone Wars: Lightsaber Duels,Wii,2008.0,Action Adventure,LucasArts  ,1.21,0.3,0.0,0.14,1.65,56.0,24.0,6.6,32.0,Krome Studios,T
98,Uncharted: Golden Abyss,PlayStation Vita,2012.0,Action Adventure,Sony Computer Entertainment  ,0.53,0.71,0.13,0.25,1.62,80.0,80.0,7.5,897.0,"Naughty Dog, Sony Bend",T
99,Just Cause 2,Xbox 360,2010.0,Action Adventure,Square Enix  ,0.59,0.83,0.02,0.17,1.6099999999999999,81.0,74.0,8.0,302.0,Avalanche Studios,M
100,Devil May Cry 4,PlayStation 3,2008.0,Action,Capcom  ,0.58,0.45,0.34,0.2,1.57,84.0,63.0,8.5,515.0,Capcom,M
101,Batman: Arkham Knight,Xbox One,2015.0,General,Warner Bros. Interactive Entertainment  ,0.97,0.46,0.0,0.14,1.5699999999999998,85.0,16.0,7.2,946.0,Rocksteady Studios,M
102,LEGO Pirates of the Caribbean: The Video Game,Wii,2011.0,Action Adventure,Disney Interactive Studios  ,0.73,0.69,0.0,0.15,1.5699999999999998,73.0,14.0,7.3,21.0,Traveller's Tales,E10+
103,Mafia II,Xbox 360,2010.0,Action Adventure,2K Games  ,0.85,0.55,0.0,0.15,1.5499999999999998,74.0,79.0,8.0,671.0,2K Czech,M
104,Spider-Man 2: Enter: Electro,PlayStation,2001.0,Action Adventure,Activision  ,0.57,0.87,0.02,0.09,1.55,74.0,15.0,8.4,88.0,Vicarious Visions,E
105,Pac-Man World 2,PlayStation 2,2002.0,Action,Namco  ,1.26,0.05,0.0,0.21,1.52,73.0,19.0,7.7,37.0,Namco,E
106,Star Wars: The Force Unleashed II,PlayStation 3,2010.0,Action,LucasArts  ,0.8,0.5,0.0,0.21,1.51,63.0,41.0,6.7,152.0,LucasArts,T
107,Metal Gear Rising: Revengeance,PlayStation 3,2013.0,Action Adventure,Konami Digital Entertainment  ,0.47,0.41,0.44,0.18,1.4999999999999998,80.0,61.0,8.0,901.0,PlatinumGames,M
108,Mafia II,PlayStation 3,2010.0,Action Adventure,2K Games  ,0.5,0.7,0.04,0.25,1.49,75.0,61.0,7.9,435.0,2K Czech,M
109,Dead Rising 2,Xbox 360,2010.0,Action Adventure,Capcom  ,0.75,0.53,0.09,0.13,1.5,79.0,76.0,7.1,247.0,Blue Castle Games,M
110,LEGO Star Wars III: The Clone Wars,Xbox 360,2011.0,Action Adventure,LucasArts  ,0.84,0.51,0.0,0.13,1.48,75.0,43.0,7.7,62.0,Traveller's Tales,E10+
111,Dying Light,Xbox One,2016.0,Horror,Warner Bros. Interactive Entertainment  ,1.01,0.31,0.01,0.14,1.4700000000000002,74.0,26.0,7.9,504.0,Techland,M
112,Ryse: Son of Rome,Xbox One,2013.0,Action Adventure,Microsoft Studios  ,0.84,0.49,0.0,0.13,1.46,60.0,77.0,6.4,1698.0,Crytek,M
114,Assassin's Creed Syndicate,Xbox One,2015.0,Historic,Ubisoft  ,0.71,0.61,0.0,0.12,1.44,78.0,22.0,6.5,590.0,Ubisoft Quebec,M
115,Star Wars: The Force Unleashed II,Xbox 360,2010.0,Action,LucasArts  ,0.95,0.37,0.0,0.12,1.44,61.0,59.0,5.9,248.0,LucasArts,T
116,Frogger 2: Swampy's Revenge,PlayStation,2000.0,Action,Hasbro Interactive  ,0.8,0.54,0.0,0.09,1.4300000000000002,77.0,4.0,8.2,12.0,Blitz Games,E
117,Yu-Gi-Oh! The Duelists of the Roses,PlayStation 2,2003.0,Miscellaneous,Konami  ,1.07,0.35,0.0,0.0,1.42,59.0,14.0,8.0,96.0,Konami,E
118,Yu-Gi-Oh! The Duelists of the Roses,PlayStation 2,2003.0,Miscellaneous,Konami  ,1.16,0.91,0.0,0.3,2.3699999999999997,59.0,14.0,8.0,96.0,Konami,E
119,LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action Adventure,LucasArts  ,0.58,0.51,0.0,0.32,1.41,83.0,11.0,8.1,49.0,Traveller's Tales,E10+
120,Spider-Man: The Movie,Xbox,2002.0,Action,Activision  ,1.07,0.28,0.0,0.05,1.4000000000000001,79.0,29.0,7.5,14.0,Treyarch,E
121,True Crime: Streets of LA,Xbox,2003.0,Action Adventure,Activision  ,0.96,0.37,0.0,0.05,1.3800000000000001,77.0,39.0,8.0,31.0,"Luxoflux, Inc.",M
122,Dead Rising 2,PlayStation 3,2010.0,Action Adventure,Capcom  ,0.43,0.57,0.15,0.22,1.3699999999999999,80.0,54.0,6.8,195.0,Blue Castle Games,M
123,Metroid: Other M,Wii,2010.0,Action,Nintendo  ,0.85,0.28,0.13,0.1,1.3599999999999999,79.0,71.0,6.7,618.0,Team Ninja,T
124,Watch Dogs 2,Xbox One,2016.0,Action Adventure,Ubisoft  ,0.71,0.53,0.0,0.12,1.3599999999999999,81.0,11.0,7.4,339.0,Ubisoft Montreal,M
125,Devil May Cry 4,Xbox 360,2008.0,Action,Capcom  ,0.79,0.34,0.08,0.13,1.3400000000000003,84.0,61.0,8.4,350.0,Capcom,M
126,Saints Row IV,PlayStation 3,2013.0,Action Adventure,Deep Silver  ,0.58,0.45,0.09,0.21,1.33,76.0,26.0,6.4,303.0,Volition Inc.,M
127,Alan Wake,Xbox 360,2010.0,Action Adventure,Microsoft Game Studios  ,0.66,0.5,0.05,0.12,1.33,83.0,100.0,8.2,1401.0,Remedy Entertainment,T
128,Manhunt,PlayStation 2,2003.0,Action Adventure,Rockstar Games  ,0.63,0.49,0.0,0.16,1.28,76.0,47.0,8.4,193.0,Rockstar North,M
129,LEGO Harry Potter: Years 5-7,Wii,2011.0,Action Adventure,Warner Bros. Interactive  ,0.7,0.44,0.0,0.12,1.2599999999999998,76.0,8.0,7.5,20.0,Traveller's Tales,E10+
130,Assassin's Creed: Bloodlines,PSP,2009.0,Action Adventure,Ubisoft  ,0.43,0.5,0.05,0.28,1.26,63.0,38.0,7.0,123.0,Griptonite Games,M
131,Star Wars: The Force Unleashed,PlayStation 2,2008.0,Action,LucasArts  ,0.49,0.0,0.01,0.75,1.25,68.0,7.0,7.5,53.0,Krome Studios,T
132,Lara Croft Tomb Raider: The Angel of Darkness,PlayStation 2,2003.0,Action Adventure,Eidos Interactive  ,0.61,0.48,0.0,0.16,1.2499999999999998,52.0,37.0,6.4,141.0,Core Design Ltd.,T
133,Star Wars Episode III: Revenge of the Sith,Xbox,2005.0,Action Adventure,LucasArts  ,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.0,63.0,Double Helix Games,T
134,Ben 10: Protector of Earth,Wii,2007.0,Action,D3 Publisher  ,0.54,0.55,0.0,0.13,1.2200000000000002,63.0,6.0,7.5,12.0,High Voltage Software,E10+
135,Bayonetta,PlayStation 3,2010.0,Action,Sega  ,0.44,0.4,0.21,0.16,1.21,87.0,54.0,7.7,449.0,"PlatinumGames, Nex Entertainment",M
136,The Lord of the Rings: The Fellowship of the Ring,PlayStation 2,2002.0,Action Adventure,Black Label Games  ,0.59,0.46,0.0,0.15,1.2,59.0,19.0,4.7,32.0,Surreal Software,T
137,Enter the Matrix,Xbox,2003.0,Action,Atari  ,0.72,0.43,0.01,0.04,1.2,65.0,33.0,7.2,72.0,Shiny Entertainment,T
138,SpongeBob SquarePants: Revenge of the Flying Dutchman,Game Boy Advance,2002.0,Action,THQ  ,0.92,0.23,0.0,0.04,1.1900000000000002,71.0,4.0,7.8,9.0,Vicarious Visions,E
139,Metal Gear Solid: Portable Ops,PSP,2006.0,Action Adventure,Konami  ,0.38,0.35,0.38,0.09,1.2,87.0,54.0,8.1,198.0,Kojima Productions,M
140,Hitman 2: Silent Assassin,Xbox,2002.0,Action Adventure,Eidos Interactive  ,0.76,0.38,0.0,0.05,1.1900000000000002,84.0,23.0,7.1,23.0,Io Interactive,M
141,Spider-Man: The Movie,GameCube,2002.0,Action,Activision  ,0.86,0.27,0.01,0.04,1.18,76.0,14.0,7.3,14.0,Treyarch,E
142,LEGO Dimensions,PlayStation 4,2015.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.48,0.5,0.0,0.2,1.18,80.0,53.0,7.2,84.0,Traveller's Tales,E10+
143,LEGO Star Wars III: The Clone Wars,PlayStation 3,2011.0,Action Adventure,LucasArts  ,0.52,0.47,0.0,0.19,1.18,76.0,36.0,7.6,51.0,Traveller's Tales,E10+
144,LEGO Jurassic World,PlayStation 4,2015.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.41,0.56,0.02,0.19,1.18,70.0,46.0,7.1,114.0,TT Games,E10+
146,Sunset Overdrive,Xbox One,2014.0,General,Microsoft Studios  ,0.64,0.42,0.0,0.1,1.1600000000000001,81.0,89.0,7.8,1469.0,Insomniac Games,M
147,Gauntlet: Dark Legacy,PlayStation 2,2001.0,Action,Midway Games  ,0.56,0.44,0.0,0.15,1.15,73.0,15.0,8.3,33.0,Midway,T
148,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action Adventure,LucasArts  ,0.61,0.44,0.0,0.09,1.1400000000000001,67.0,25.0,6.5,35.0,Traveller's Tales,E10+
150,Tenchu: Wrath of Heaven,PlayStation 2,2003.0,Action Adventure,Activision  ,0.44,0.34,0.25,0.11,1.1400000000000001,79.0,33.0,8.6,65.0,K2 LLC,M
151,The Lord of the Rings: The Return of the King,Xbox,2003.0,Action,Electronic Arts  ,0.71,0.38,0.0,0.05,1.14,84.0,31.0,8.1,40.0,EA Games,T
152,Spider-Man 2,Xbox,2004.0,Action Adventure,Activision  ,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.4,53.0,Treyarch,T
153,Transformers: The Game,PlayStation 2,2007.0,Action Adventure,Activision  ,0.63,0.37,0.0,0.11,1.11,56.0,8.0,6.6,40.0,Traveller's Tales,T
154,LEGO Marvel Super Heroes 2,PlayStation 4,2017.0,Action,Warner Bros. Interactive Entertainment  ,0.33,0.6,0.0,0.18,1.1099999999999999,73.0,61.0,7.0,75.0,TT Games,E10+
155,Castlevania: Lords of Shadow,PlayStation 3,2010.0,Action Adventure,Konami  ,0.5,0.37,0.1,0.15,1.1199999999999999,85.0,62.0,8.1,572.0,Mercury Steam,M
157,Metal Gear Solid HD Collection,PlayStation 3,2011.0,Miscellaneous,Konami Digital Entertainment  ,0.52,0.44,0.0,0.14,1.1,89.0,50.0,9.0,505.0,"Genki, Bluepoint Games",M
158,Metal Gear Solid HD Collection,PlayStation 3,2011.0,Miscellaneous,Konami  ,0.32,0.13,0.0,0.07,0.52,89.0,50.0,9.0,505.0,"Genki, Bluepoint Games",M
