,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
8387,NCAA Football 2004,Xbox,2003.0,Sports,EA Sports  ,0.4,0.02,0.0,0.02,0.44000000000000006,88.0,13.0,7.9,21.0,EA Sports,E
8388,MLB 2002,PlayStation,2001.0,Sports,Sony Computer Entertainment  ,0.24,0.16,0.0,0.03,0.43000000000000005,76.0,5.0,7.3,11.0,989 Sports,E
8391,EyeToy: AntiGrav,PlayStation 2,2004.0,Sports,Sony Computer Entertainment  ,0.36,0.01,0.0,0.06,0.43,71.0,38.0,7.4,7.0,Harmonix Music Systems,E
8392,NBA 2K18,Switch,2017.0,Sports,2K Sports  ,0.3,0.06,0.03,0.04,0.43,74.0,15.0,4.3,175.0,Visual Concepts,E10+
8393,NHL 19,PlayStation 4,2018.0,Sports,EA Sports  ,0.26,0.09,0.0,0.08,0.43,80.0,29.0,5.2,117.0,EA Sports,E10+
8394,Madden NFL 2003,GameCube,2002.0,Sports,EA Sports  ,0.33,0.09,0.0,0.01,0.43000000000000005,92.0,13.0,7.6,19.0,EA Sports,E
8395,NBA Street,GameCube,2002.0,Sports,EA Sports BIG   ,0.33,0.09,0.0,0.01,0.43000000000000005,88.0,15.0,6.0,5.0,EA Sports,E
8396,NHL 2K6,PlayStation 2,2005.0,Sports,2K Sports  ,0.21,0.16,0.0,0.05,0.42,81.0,28.0,5.8,18.0,2K Sports,E10+
8397,2010 FIFA World Cup South Africa,Wii,2010.0,Sports,EA Sports  ,0.23,0.15,0.01,0.04,0.43,70.0,19.0,7.2,13.0,Electronic Arts,E
8398,Tony Hawk's American Wasteland,GameCube,2005.0,Sports,Activision  ,0.33,0.08,0.0,0.01,0.42000000000000004,76.0,26.0,7.5,18.0,Neversoft Entertainment,T
8399,All-Star Baseball 2004,PlayStation 2,2003.0,Sports,Acclaim Entertainment  ,0.21,0.16,0.0,0.05,0.42,78.0,19.0,7.5,11.0,Acclaim Studios Austin,E
8401,ESPN NHL 2K5,Xbox,2004.0,Sports,Sega  ,0.32,0.09,0.0,0.02,0.43000000000000005,88.0,32.0,7.9,15.0,Kush Games,E
8402,NHL 15,Xbox One,2014.0,Sports,EA Sports  ,0.32,0.06,0.0,0.04,0.42,59.0,22.0,3.2,181.0,EA Sports,E10+
8404,NBA Live 06,PSP,2005.0,Sports,EA Sports  ,0.39,0.0,0.0,0.03,0.42000000000000004,80.0,18.0,7.7,14.0,EA Canada,E
8405,MLB 08: The Show,PlayStation 2,2008.0,Sports,Sony Computer Entertainment  ,0.35,0.01,0.0,0.06,0.42,84.0,12.0,7.3,7.0,SCEA San Diego Studios,E
8407,NHL Slapshot,Wii,2010.0,Sports,EA Sports  ,0.39,0.0,0.0,0.03,0.42000000000000004,76.0,25.0,8.5,11.0,EA Sports,E
8408,NFL GameDay 2004,PlayStation 2,2003.0,Sports,Sony Computer Entertainment  ,0.2,0.16,0.0,0.05,0.41,65.0,25.0,8.7,6.0,989 Sports,E
8410,Football Manager Handheld 2011,PSP,2010.0,Sports,Sega  ,0.0,0.28,0.0,0.14,0.42000000000000004,77.0,5.0,7.6,8.0,Sports Interactive,E
8412,Cool Boarders 2001,PlayStation,2000.0,Sports,Sony Computer Entertainment  ,0.23,0.16,0.0,0.03,0.42000000000000004,56.0,10.0,3.3,4.0,Idol Minds,E
8413,Top Spin 4,Xbox 360,2011.0,Sports,2K Sports  ,0.15,0.22,0.0,0.04,0.41,84.0,54.0,8.3,83.0,2K Czech,E
8414,Madden NFL Football,3DS,2011.0,Sports,EA Sports  ,0.37,0.01,0.0,0.03,0.41000000000000003,49.0,18.0,5.3,16.0,EA Tiburon,E
8417,NBA Jam,Wii,2010.0,Sports,EA Sports  ,0.36,0.02,0.0,0.02,0.4,79.0,43.0,8.5,24.0,EA Canada,E
8418,NFL GameDay 2002,PlayStation,2001.0,Sports,Sony Computer Entertainment  ,0.23,0.15,0.0,0.03,0.41000000000000003,62.0,10.0,7.1,7.0,989 Sports,E
8420,NBA Jam,PlayStation 3,2010.0,Sports,EA Sports  ,0.22,0.12,0.0,0.06,0.39999999999999997,71.0,33.0,5.9,15.0,EA Canada,E
8424,Harry Potter: Quidditch World Cup,GameCube,2003.0,Sports,Electronic Arts  ,0.31,0.08,0.0,0.01,0.4,68.0,16.0,8.1,13.0,Electronic Arts,E
8426,MLB 2006,PlayStation 2,2005.0,Sports,Sony Computer Entertainment  ,0.33,0.01,0.0,0.05,0.39,81.0,32.0,8.6,22.0,989 Sports,E
8428,Sega Superstars Tennis,PlayStation 3,2008.0,Sports,Sega  ,0.13,0.2,0.0,0.07,0.4,67.0,31.0,7.6,11.0,Sumo Digital,E10+
8430,Rocket League,Switch,2018.0,Sports,505 Games  ,0.21,0.16,0.0,0.03,0.4,86.0,32.0,7.8,351.0,Psyonix,E
8431,NBA Live 2002,Xbox,2001.0,Sports,EA Sports  ,0.35,0.03,0.0,0.02,0.4,76.0,15.0,7.5,6.0,Electronic Arts,E
8432,Fishing Resort,Wii,2011.0,Sports,Xseed Games  ,0.14,0.0,0.25,0.01,0.4,69.0,9.0,7.5,8.0,Prope,E
8433,NBA Jam,Xbox 360,2010.0,Sports,EA Sports  ,0.27,0.09,0.0,0.03,0.39,75.0,30.0,7.5,25.0,EA Canada,E
