Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Assassin's Creed Origins,Xbox One,85,42,7.7,824,"Ubisoft, Ubisoft Montreal",M,Action Adventure
Dying Light,PlayStation 4,74,58,8.0,1708,Techland,M,Horror
Dead Island,Xbox 360,71,75,6.9,658,Techland,M,Action Adventure
The Incredibles,PlayStation 2,62,36,7.8,38,Heavy Iron Studios,T,Action Adventure
Uncharted: The Lost Legacy,PlayStation 4,84,104,8.0,1986,Naughty Dog,T,Action
LEGO Marvel Super Heroes,Xbox 360,80,37,7.8,153,TT Games,E10+,Action Adventure
Assassin's Creed IV: Black Flag,Xbox One,,,7.7,461,Ubisoft,M,Action Adventure
LEGO Star Wars: The Complete Saga,PlayStation 3,80,18,7.2,118,Traveller's Tales,E10+,Action
Dead Island,PlayStation 3,71,41,6.6,445,Techland,M,Action Adventure
Star Wars: The Force Unleashed,PlayStation 3,71,47,6.8,294,LucasArts,T,Action
Metal Gear Solid: Peace Walker,PSP,89,66,8.7,662,Kojima Productions,T,Action Adventure
The Incredibles,Game Boy Advance,55,13,5.3,6,Helixe,E,Action Adventure
Hitman: Absolution,PlayStation 3,83,30,7.5,592,Io Interactive,M,Action Adventure
Tom Clancy's Splinter Cell: Conviction,Xbox 360,85,90,7.7,673,Ubisoft Montreal,M,Action Adventure
Middle-earth: Shadow of War,PlayStation 4,80,69,4.6,1536,Monolith Productions,M,Action Adventure
Peter Jackson's King Kong: The Official Game of the Movie,PlayStation 2,82,41,8.4,106,Ubisoft Montpellier,T,Action Adventure
Tenchu: Stealth Assassins,PlayStation,87,14,8.7,92,Acquire,M,Action Adventure
Resident Evil 6,Xbox 360,67,71,5.2,1519,Capcom,M,Action Adventure
Dishonored 2,PlayStation 4,88,62,8.1,1414,Arkane Studios,M,Action Adventure
LEGO Marvel Super Heroes,PlayStation 3,82,22,7.8,96,TT Games,E10+,Action Adventure
Grand Theft Auto: San Andreas,Xbox,93,58,8.8,184,Rockstar North,AO,Action Adventure
LEGO Marvel Super Heroes,PlayStation 4,83,22,7.6,386,TT Games,E10+,Action Adventure
inFamous 2,PlayStation 3,83,90,8.6,1241,Sucker Punch,T,Action Adventure
Star Wars: The Force Unleashed,Wii,71,18,8.0,87,Krome Studios,T,Action
The Evil Within,PlayStation 4,75,65,7.7,1868,Tango Gameworks,M,Horror
Phineas and Ferb,DS,80,4,5.0,13,Altron,E,Action
LEGO Star Wars III: The Clone Wars,Wii,76,7,8.1,22,Traveller's Tales,E10+,Action Adventure
The Getaway: Black Monday,PlayStation 2,57,53,7.8,60,SCEE London Studio,M,Action Adventure
Far Cry 5,Xbox One,82,32,6.9,495,Ubisoft Montreal,M,Action
50 Cent: Bulletproof,PlayStation 2,47,21,6.6,140,Genuine Games,M,Action Adventure
State of Emergency,PlayStation 2,71,34,6.3,34,VIS Entertainment,M,Action
Kinect Star Wars,Xbox 360,55,61,3.8,154,Terminal Reality,T,Action
Just Cause 2,PlayStation 3,83,66,8.0,336,Avalanche Studios,M,Action Adventure
For Honor,PlayStation 4,78,59,6.1,1097,Ubisoft Montreal,M,Action Adventure
Hitman: Absolution,Xbox 360,79,51,7.2,514,Io Interactive,M,Action Adventure
