Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Playmobil Circus,Wii,,,tbd,,Dreamcatcher,E,Action
Paragon,PlayStation 4,,,6.6,150,Epic Games,T,Strategy
Mystic Heroes,GameCube,67,13,8.2,24,Koei,T,Action
Viewtiful Joe: Red Hot Rumble,PSP,63,24,6.9,7,Clover Studio,T,Action
Grand Theft Auto: Episodes from Liberty City,PC,,,8.2,231,Rockstar Toronto,M,Miscellaneous
Crimson Sea,Xbox,78,19,8.2,10,Koei,T,Action
Spider-Man: Edge of Time,Wii,62,9,6.9,10,Beenox,T,Action
The Suffering: Ties That Bind,Xbox,76,36,8.3,10,Surreal Software,M,Action Adventure
Attack on Titan 2,Xbox One,74,10,6.8,18,Omega Force,M,Action
Ty the Tasmanian Tiger 3: Night of the Quinkan,GameCube,68,11,7.7,12,Krome Studios,E10+,Action Adventure
Bionicle,Game Boy Advance,,,4.3,4,Mobius Entertainment,E,Action
Jumper: Griffin's Story,Wii,28,5,2.5,11,Collision Studios,T,Action
Samurai Warriors 2: Xtreme Legends,PlayStation 2,50,11,8.2,10,Koei,T,Action
Forgotten Realms: Demon Stone,Xbox,72,17,6.1,8,Stormfront Studios,T,Action
Lara Croft and the Temple of Osiris,PlayStation 4,74,40,6.6,178,Nixxes Software,T,Action
Lego Star Wars II: The Original Trilogy,Game Boy Advance,55,5,7.1,8,Amaze Entertainment,E,Action Adventure
The Incredibles: Rise of the Underminer,Xbox,63,12,tbd,,Heavy Iron Studios,E10+,Action
Captain America: Super Soldier,3DS,51,9,6.7,9,High Voltage Software,T,Action
Destroy All Humans! Path of the Furon,PlayStation 3,,,,,Sandblast,T,Action Adventure
Killer7,PlayStation 2,70,39,8.7,65,Grasshopper Manufacture,M,Action Adventure
Charlotte's Web,DS,60,4,tbd,,Backbone Entertainment,E,Action
Astro Boy,PlayStation 2,54,29,7.3,15,Sonic Team,E,Action
Bladestorm: Nightmare,Xbox One,48,6,6.7,10,Omega Force,T,Action
Jaws: Ultimate Predator,Wii,,,6.3,4,Tectonic Studios,T,Action
Knights Contract,PlayStation 3,51,37,6.9,15,Game Republic,M,Action Adventure
Hammerin' Hero,PSP,73,19,7.3,8,Irem,E10+,Action
Warriors Orochi 3 Hyper,Wii U,64,18,7.5,33,Omega Force,T,Action
Dead Island: Definitive Collection,Xbox One,67,10,5.4,43,Techland,M,Miscellaneous
Cartoon Network: Battle Crashers,Switch,,,3.6,15,"Torus Games, MADCOW",E10+,Action
Samurai Warriors Chronicles 3,3DS,63,13,6.5,11,Omega Force,T,Action
The Secret Saturdays: Beasts of the 5th Sun,DS,60,5,tbd,,"1st Playable Productions, OneNine Studios",E10+,Action Adventure
Hello Kitty: Roller Rescue,GameCube,64,14,7.0,12,Xpec,E,Action Adventure
Gundam the 3D Battle,3DS,,,,,Namco Bandai Games,,Action
Playmobil: Pirates,DS,,,tbd,,Dreamcatcher,E10+,Action Adventure
Sushi Academy,DS,,,tbd,,DTP Entertainment,E,Action
DaGeDar,DS,,,tbd,,Black Lantern Studios,E,Action
Tornado Outbreak,Xbox 360,62,12,8.0,6,Loose Cannon Studios,E10+,Action
Prey the Stars,DS,66,12,tbd,,Koei Canada,E,Action
Fatal Frame III: The Tormented,PlayStation 2,78,46,8.9,99,Tecmo,M,Action Adventure
Zero: Tsukihami no Kamen,Wii,,,,,Grasshopper Manufacture,,Action Adventure
Legend of Kay Anniversary,PlayStation 4,62,22,5.9,16,"Neon Studios, Kaiko",E10+,Action Adventure
Ninjabread Man,Wii,20,6,1.4,63,Data Design Interactive,E,Action
Seven Samurai 20XX,PlayStation 2,52,31,7.4,7,Dimps Corporation,T,Action
Tom Clancy's Splinter Cell Pandora Tomorrow,GameCube,78,25,7.9,15,Ubisoft,T,Action Adventure
Knights Contract,Xbox 360,49,41,6.2,21,Game Republic,M,Action Adventure
Dynasty Warriors 9,Xbox One,56,13,4.1,31,"Omega Force, Koei Tecmo Games",T,Action Adventure
Order Up!!,PlayStation 3,55,8,4.8,4,SuperVillain Studios,E,Action
Samurai Western,PlayStation 2,58,34,7.7,7,Acquire,M,Action Adventure
Harry Potter and the Sorcerer's Stone,GameCube,62,11,8.0,11,Warthog,E,Action Adventure
Looney Tunes: Acme Arsenal,Xbox 360,40,15,7.1,14,Red Tribe,E10+,Action
Disney's Meet the Robinsons,Xbox 360,65,21,6.6,5,Buena Vista Games,E10+,Action Adventure
Warhammer: Battle for Atluma,PSP,55,8,7.4,9,Sabertooth Games,T,Strategy
Superman: Shadow of Apokolips,GameCube,66,7,7.1,9,Atari,E,Action
Batman: Dark Tomorrow,GameCube,29,14,3.0,21,Kemco,T,Action Adventure
RoadKill,Xbox,68,23,7.1,11,Terminal Reality,M,Driving
IndyCar Series 2005,Xbox,72,33,tbd,,Codemasters,E,Driving
World Series of Poker 2008: Battle for the Bracelets,Xbox 360,74,10,6.7,7,Left Field Productions,T,Miscellaneous
Evil Dead: Regeneration,Xbox,66,34,7.3,6,Cranky Pants Games,M,Action Adventure
Toy Soldiers: War Chest,Xbox One,60,14,7.7,56,Krome Studios,,Strategy
Dead Rising,PlayStation 4,78,6,7.5,86,Capcom,M,Action Adventure
Samurai Warriors 2,Xbox 360,52,30,8.8,19,Omega Force,T,Action
Urban Reign,PlayStation 2,60,44,8.6,54,Namco,T,Action
Resident Evil 3: Nemesis,GameCube,62,14,8.8,96,Capcom,M,Action Adventure
Aliens in the Attic,Wii,,,tbd,,Revistronic,E10+,Action Adventure
Akiba's Beat,PlayStation 4,55,33,6.8,39,Acquire,T,Action Adventure
The Legend of Kage 2,DS,70,21,7.3,7,Taito Corporation,E10+,Action
Dynasty Warriors 3,Xbox,70,11,8.8,22,Omega Force,T,Action
Metal Gear Survive,Xbox One,62,14,2.0,203,Konami,M,Action Adventure
DreamWorks The Croods: Prehistoric Party!,Wii,,,tbd,,Torus Games,E,Miscellaneous
Legend of the Guardians: The Owls of Ga'Hoole,Xbox 360,60,13,7.7,6,Krome Studios,E10+,Action
Resident Evil 5,PlayStation 4,69,14,7.2,358,Capcom,M,Action Adventure
Superman Returns,DS,33,8,4.5,15,EA Tiburon,E,Action
Emily the Strange: Strangerous,DS,,,tbd,,exozet,E10+,Action
Generator Rex: Agent of Providence,PlayStation 3,,,tbd,,Virtuos,E10+,Action
Samurai Warriors: Spirit of Sanada,PlayStation 4,74,31,7.1,19,Omega Force,T,Action
Far Cry 5,PC,78,31,6.3,1756,Ubisoft Montreal,M,Action
Attack on Titan,PlayStation 3,,,7.8,13,Omega Force,M,Action
SpongeBob's Truth or Square,Xbox 360,,,6.8,20,Heavy Iron Studios,E,Action
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Xbox One,55,14,6.0,45,PlatinumGames,T,Action
Legend of Kay Anniversary,Wii U,67,9,6.9,37,"Neon Studios, Kaiko",E10+,Action Adventure
Has-Been Heroes,PlayStation 4,61,7,6.5,11,"Frozenbyte, Inc., GameTrust",E10+,Strategy
Song of the Deep,PC,71,14,7.1,30,Insomniac Games,E,Action Adventure
Adventure Time: Finn & Jake Investigations,Wii U,,,6.9,10,Vicious Cycle,E10+,Adventure
Styx: Shards of Darkness,PlayStation 4,72,31,7.2,64,Cyanide,M,Action Adventure
Dead Rising 2,PlayStation 4,82,4,7.2,42,Blue Castle Games,M,Action Adventure
SpongeBob's Truth or Square,PSP,,,5.4,5,Heavy Iron Studios,E,Action
Disaster: Day of Crisis,Wii,69,21,,,Monolith Soft,,Action
Pitfall: The Lost Expedition,Game Boy Advance,66,13,tbd,,Torus Games,E,Action
James Cameron's Dark Angel,Xbox,47,17,8.3,6,Radical Entertainment,T,Action
Jumper: Griffin's Story,PlayStation 2,,,4.8,6,Collision Studios,T,Action
Escape Dead Island,Xbox 360,32,12,3.6,81,Fatshark AB,M,Action Adventure
Haunting Ground,PlayStation 2,67,33,8.9,95,Capcom,M,Action Adventure
Tornado,DS,44,26,tbd,,Skonec,E,Action
Samurai Warriors Chronicles 3,PlayStation Vita,70,9,7.9,15,Omega Force,T,Action
Silent Hill: Origins,PlayStation 2,70,21,7.4,111,Climax Group,M,Action Adventure
Harry Potter and the Sorcerer's Stone,Xbox,59,11,6.9,8,Warthog,E,Action Adventure
McFarlane's Evil Prophecy,PlayStation 2,34,28,3.0,6,Konami,M,Action
Samurai Warriors,Xbox,71,20,6.5,8,Omega Force,T,Action
Dynasty Warriors 8 Empires,Xbox One,58,10,6.8,16,Koei Tecmo Games,T,Action
Crimson Sea 2,PlayStation 2,75,27,8.1,8,Koei,T,Action
Middle-earth: Shadow of War,PC,75,17,4.2,988,Monolith Productions,M,Action Adventure
Catwoman,GameCube,47,24,5.3,10,Argonaut Games,T,Action Adventure
Alpha and Omega,DS,,,tbd,,Storm City Games,E,Action
Spartan: Total Warrior,GameCube,73,24,8.1,17,Creative Assembly,M,Action Adventure
Pitfall: The Lost Expedition,Xbox,73,35,7.1,7,Edge of Reality,E,Action
River City Ransom EX,Game Boy Advance,75,21,8.3,9,Million,T,Action
Top Gun,PlayStation 3,49,25,4.4,5,Doublesix,T,Action
Dynasty Warriors DS: Fighter's Battle,DS,56,17,6.8,5,Koei,E10+,Action
Terraria,PlayStation 4,83,4,7.7,111,"Engine Software, Pipeworks Software, Inc.",T,Action
Robot Alchemic Drive,PlayStation 2,79,21,8.1,12,Sandlot,T,Simulation
Tokyo Beat Down,DS,56,23,tbd,,"Success, Tamsoft",T,Action
Bad Apple Wars,PlayStation Vita,78,7,7.1,7,Otomate,T,Adventure
Generator Rex: Agent of Providence,DS,,,tbd,,Virtuos,E10+,Action
The Powerpuff Girls: Relish Rampage,GameCube,,,8.0,6,VIS Entertainment,E,Action
Deep Labyrinth,DS,57,18,6.3,6,Interactive Brains,E10+,Role-Playing
Spawn: Armageddon,GameCube,61,19,7.3,10,Point of View,M,Action Adventure
Samurai Warriors 4 Empires,PlayStation Vita,,,tbd,,Omega Force,T,Action
Daniel X: The Ultimate Power,DS,,,tbd,,Griptonite Games,E10+,Action
X-Men: The Official Game,Game Boy Advance,55,9,8.3,9,WayForward,E10+,Action
Samurai Warriors 4 Empires,PlayStation 3,,,tbd,,Omega Force,T,Action
TRON: Evolution,PC,57,11,5.4,30,Propaganda Games,T,Action
Legend of Kay Anniversary,PlayStation 4,62,22,5.9,16,"Neon Studios, Kaiko",E10+,Action Adventure
Alex Rider: Stormbreaker,DS,48,11,6.0,11,Altron,T,Action
Zombi,PlayStation 4,71,29,5.9,218,"Ubisoft Montpellier, Straight Right",M,Action
Prince of Persia: The Fallen King,DS,64,24,6.1,12,Ubisoft,E,Action Adventure
Frogger Advance: The Great Quest,Game Boy Advance,55,9,7.8,4,KCEA,E,Action
James Bond 007: Blood Stone,DS,70,10,7.0,4,n-Space,T,Action
Kabuki Warriors,Xbox,32,15,1.8,11,Light Weight,M,Action
Fist of the North Star: Ken's Rage 2,Xbox 360,55,18,7.1,21,Koei,M,Action
NanoBreaker,PlayStation 2,51,38,6.9,12,KCET,M,Action Adventure
Escape from Bug Island,Wii,37,13,5.3,27,Spike,M,Action Adventure
Nights of Azure 2: Bride of the New Moon,Switch,66,8,6.6,23,Gust,T,Role-Playing
Disney's Magical Quest 2 Starring Mickey and Minnie,Game Boy Advance,63,8,tbd,,Klein Computer Entertainment,E,Action
Ittle Dew 2+,Switch,77,11,7.7,31,Ludosity Interactive,E10+,Role-Playing
Dynasty Warriors VS,3DS,,,,,Koei,,Action
Generator Rex: Agent of Providence,Xbox 360,,,4.0,6,Virtuos,E10+,Action
Tom Clancy's Splinter Cell Pandora Tomorrow,Game Boy Advance,68,19,6.7,7,Ubisoft,T,Action Adventure
Mystic Heroes,PlayStation 2,67,7,8.7,16,Koei,T,Action
Legend of Kay,DS,,,tbd,,Firehazard Studio,E,Action Adventure
Kurupoto: Cool Cool Stars,DS,,,tbd,,Starfish SD,E,Action
Cold Fear,Xbox,71,41,8.0,26,Darkworks,M,Action Adventure
Cartoon Network: Battle Crashers,3DS,21,4,2.3,8,Magic Pockets,E10+,Action
The Great Escape,Xbox,55,24,7.3,4,Pivotal Games,T,Action Adventure
Cartoon Network: Battle Crashers,Xbox One,,,3.2,6,Magic Pockets,E10+,Action
Crazy Chicken Tales,Wii,,,tbd,,"Conspiracy Entertainment, DaHonko Entertains",E10+,Action
Batman: Rise of Sin Tzu,GameCube,63,17,tbd,,Ubisoft Montreal,T,Action
Tsumiki: Block Drop Mania,DS,,,tbd,,RED Entertainment,E,Action
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,PlayStation Vita,79,25,8.3,27,Spike Chunsoft,E10+,Role-Playing
Prinny: Can I Really Be the Hero?,PSP,72,45,8.1,36,Nippon Ichi Software,T,Action
Playmobil Knights,DS,,,tbd,,Dreamcatcher,E,Action
Xiaolin Showdown,PSP,59,4,tbd,,BottleRocket Entertainment,E10+,Action
Mercury Meltdown,PSP,78,36,7.8,9,Ignition Entertainment,E,Miscellaneous
Trapt,PlayStation 2,60,36,7.9,20,Paon Corporation,M,Action Adventure
Yomawari: Midnight Shadows,PlayStation 4,77,23,7.0,26,Nippon Ichi Software,M,Action Adventure
Okami HD,Xbox One,87,14,8.4,72,Capcom,T,Action Adventure
Vampire Rain: Altered Species,PlayStation 3,30,15,3.7,39,Artoon,M,Action Adventure
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,58,10,7.4,10,Konami,E,Action
Jumper: Griffin's Story,Xbox 360,29,16,3.3,30,Red Tribe,T,Action
Brave: A Warrior's Tale,Xbox 360,42,17,5.0,4,Collision Studios,E10+,Action
Azure Striker Gunvolt: Striker Pack,Switch,82,9,7.9,47,Inti Creates,T,Miscellaneous
Brave: A Warrior's Tale,Wii,48,13,4.6,5,Collision Studios,E10+,Action Adventure
Top Gun: Hard Lock,Xbox 360,54,8,3.5,16,505 Games,T,Action
Winx Club: Quest for the Codex,DS,,,7.1,7,Powerhead Games,E,Miscellaneous
Fatal Frame,Xbox,77,17,8.6,25,Tecmo,T,Action Adventure
X-Men: Destiny,DS,33,6,5.6,7,"Silicon Knights, Other Ocean Interactive",E10+,Action
Resident Evil 2,GameCube,59,15,8.7,84,Capcom,M,Action Adventure
Arslan: The Warriors of Legend,Xbox One,,,5.8,12,Omega Force,T,General
Gun Showdown,PSP,73,41,7.5,13,"Rebellion, Neversoft Entertainment",M,Action Adventure
Catwoman,Xbox,45,33,4.2,6,EA Games,T,Action Adventure
Warriors Orochi 2,Xbox 360,44,28,8.1,15,Omega Force,T,Action
Animorphs: Shattered Reality,PlayStation,27,4,tbd,,SingleTrac,E,Action
Constantine,Xbox,60,31,7.3,19,Bits Studios,M,Action Adventure
Cartoon Network: Battle Crashers,PlayStation 4,21,4,1.5,29,Magic Pockets,E10+,Action
Tom Clancy's Splinter Cell Double Agent,GameCube,64,8,6.7,9,Ubisoft Montreal,M,Action Adventure
Monster High: New Ghoul in School,3DS,,,tbd,,"Torus Games, Little Orbit",E,Action
Extinction,PlayStation 4,47,37,1.5,85,Iron Galaxy Studios,M,Action Adventure
Samurai Jack: The Shadow of Aku,PlayStation 2,59,21,8.4,14,Adrenium,T,Action
One Piece: Pirate Warriors 3 - Deluxe Edition,Switch,76,16,8.3,33,Koei Tecmo Games,T,Action
Viewtiful Joe: Red Hot Rumble,GameCube,62,27,6.9,10,Clover Studio,T,Action
Sine Mora EX,PlayStation 4,81,18,7.1,20,Digital Reality,M,Action
Scurge: Hive,DS,70,29,7.9,9,"Orbital Media, Inc.",E10+,Action Adventure
The Saboteur,PC,76,20,7.9,324,Pandemic Studios,M,Action Adventure
Gal*Gun: Double Peace,PlayStation Vita,,,7.4,11,"Alchemist, Inti Creates",M,Action
BattleBots: Beyond the BattleBox,Game Boy Advance,53,7,tbd,,Cave Barn,E,Action
Harry Potter and the Sorcerer's Stone,PC,65,11,7.7,140,KnowWonder,E,Action Adventure
Tiny Barbarian DX,Switch,77,11,7.7,21,"Nicalis, StarQuail",E10+,Action
Styx: Shards of Darkness,Xbox One,72,12,7.3,29,Cyanide,M,Action Adventure
Warriors: Legends of Troy,Xbox 360,54,11,7.0,8,Tecmo Koei Canada,M,Action
Arslan: The Warriors of Legend,PlayStation 3,,,6.5,4,Omega Force,T,Action
Taito Legends Power-Up,PSP,41,9,8.3,4,Empire Oxford,E,Miscellaneous
Final Fight: Streetwise,PlayStation 2,43,36,7.7,23,Capcom,M,Action
Gladiator: Sword of Vengeance,Xbox,65,25,7.4,11,Acclaim Studios Manchester,M,Action
Captain America: Super Soldier,Wii,57,16,7.2,9,High Voltage Software,T,Action
Xiaolin Showdown,DS,58,7,tbd,,Razorback Developments,E,Action
Marc Ecko's Getting Up: Contents Under Pressure,PlayStation 2,69,39,7.5,37,Double Helix Games,M,Action Adventure
Blood Omen 2,GameCube,71,15,8.3,7,Crystal Dynamics,M,Action Adventure
Dynasty Warriors 5,Xbox,66,22,8.4,5,Omega Force,T,Action
Mister Slime,DS,59,12,tbd,,Lexis Numerique,E,Action
Touhou Genso Wanderer,PlayStation 4,70,18,6.7,15,Mediascape,T,Role-Playing
Domino Rally,Wii,57,4,tbd,,RED Entertainment,E,Action
Samurai Champloo: Sidetracked,PlayStation 2,66,26,7.1,8,Grasshopper Manufacture,T,Action
Aliens in the Attic,DS,58,7,6.7,7,Engine Software,E10+,Action Adventure
Otogi 2: Immortal Warriors,Xbox,79,43,8.2,17,From Software,T,Action Adventure
Legend of Kay,PlayStation 2,72,30,7.6,23,Neon Studios,E10+,Action Adventure
Strawberry Shortcake: Strawberryland Games,DS,,,tbd,,Gorilla Systems,E,Action
Saints Row: Gat Out of Hell,PlayStation 4,64,45,5.6,161,Volition Inc.,M,Action Adventure
Hysteria Hospital: Emergency Ward,Wii,53,10,6.0,4,Gameinvest,E,Action
Ontamarama,DS,71,9,tbd,,Noise Factory,E,Action
Collar x Malice,PlayStation Vita,74,7,7.5,14,Otomate,M,General
Tenchu: Dark Secret,DS,37,10,5.8,9,"From Software, Polygon Magic",T,Action Adventure
Tom Clancy's HAWX 2,PC,66,12,3.8,56,Ubisoft,T,Action
Alias,Xbox,64,37,6.0,4,Acclaim Studios Cheltenham,T,Action Adventure
Has-Been Heroes,Xbox One,,,tbd,,GameTrust,E10+,Strategy
Extinction,Xbox One,52,18,1.9,29,Iron Galaxy Studios,M,Action Adventure
Apex Construct,PlayStation 4,72,21,6.6,28,Fast Travel Games,E10+,Action
Ty the Tasmanian Tiger 3: Night of the Quinkan,Game Boy Advance,73,6,6.8,5,Krome Studios,E10+,Action Adventure
Rogue Ops,GameCube,65,21,tbd,,Bits Studios,M,Action Adventure
Around the World in 80 Days,Game Boy Advance,40,9,6.2,5,Saffire,E,Action Adventure
Mega Man: Battle Chip Challenge,Game Boy Advance,54,25,8.7,58,Capcom,E,Miscellaneous
Cartoon Network Racing,DS,55,13,tbd,,Firebrand Games,E,Driving
Barnyard,Game Boy Advance,56,8,tbd,,Halfbrick Studios,E,Action
The Grim Adventures of Billy & Mandy,Wii,61,10,6.1,7,High Voltage Software,E10+,Action
Crime Life: Gang Wars,Xbox,30,19,5.1,13,Hothouse Creations,M,Action Adventure
B-Boy,PSP,50,11,8.1,7,FreeStyleGames,T,Action
Fatal Frame II: Crimson Butterfly Director's Cut,Xbox,84,37,8.5,32,Tecmo,M,Action Adventure
Colin McRae Rally 2005,Xbox,83,35,7.9,7,Codemasters,E,Driving
Secret Service,Xbox 360,,,5.7,11,"Cauldron Ltd., Tigon",T,Action
Code Lyoko,DS,63,11,7.1,15,DC Studios,E10+,Action
Kung Fu Panda: Showdown of Legendary Legends,3DS,,,tbd,,"Vicious Cycle, Little Orbit",E10+,Action
Nightcaster II: Equinox,Xbox,46,12,5.6,5,Jaleco Entertainment,T,Action
The Escapists 2,Switch,73,29,6.8,37,"Team17, Mouldy Toof Studios",T,Action
Assassin's Creed: Altair's Chronicles,DS,58,30,6.4,50,Gameloft,T,Action Adventure
Double Dragon Advance,Game Boy Advance,75,21,8.3,6,Million,T,Action
Overcooked!,PlayStation 4,78,24,7.9,195,Ghost Town Games Ltd.,E,Action
Fantastic Four: Rise of the Silver Surfer,Wii,39,16,5.9,15,7 Studios,T,Action
Devil's Third,Wii U,43,54,6.7,312,Valhalla Game Studios,M,Action Adventure
Warriors All-Stars,PlayStation Vita,,,,,Omega Force,,Action
Dead Cells,PlayStation 4,87,31,7.7,244,Motion Twin,T,Action
Candace Kane's Candy Factory,DS,,,tbd,,F84 Games,E,Action
Fantastic Four: Rise of the Silver Surfer,DS,35,8,4.8,13,7 Studios,E10+,Action
Terraria,Wii U,,,7.3,12,"Engine Software, Re-Logic",T,Action
Disney Planes: Fire & Rescue,Wii,,,tbd,,Little Orbit,E,Adventure
Disney's Meet the Robinsons,GameCube,68,5,tbd,,Avalanche Software,E10+,Action Adventure
Vikings: Wolves of Midgard,PlayStation 4,67,14,6.9,62,Games Farm,M,Role-Playing
Devil May Cry HD Collection,Xbox One,71,9,8.4,85,"Pipeworks Software, Inc., NeoBards Entertainment",M,Miscellaneous
For Honor,PC,76,31,5.2,948,Ubisoft Montreal,M,Action Adventure
Spy Fiction,PlayStation 2,61,33,7.7,7,Access Games,M,Action Adventure
Mafia,PC,88,27,9.2,1903,Illusion Softworks,M,Action Adventure
Overcooked!,Xbox One,80,13,7.1,48,Ghost Town Games Ltd.,E,Action
Tom Clancy's HAWX,PC,70,23,7.2,135,Ubisoft Romania,T,Action
Aegis of Earth: Protonovus Assault,PlayStation Vita,,,8.2,9,Acquire,T,Strategy
Resident Evil 5,Xbox One,75,8,7.3,96,Capcom,M,Action Adventure
Igor the Game,DS,43,4,tbd,,Artefacts Studio,E,Action
The Invincible Iron Man,Game Boy Advance,68,9,tbd,,Torus Games,E,Action
James Cameron's Avatar: The Game,PC,59,16,7.1,111,"Ubisoft, Ubisoft Montreal",T,Action
Senran Kagura Burst Re:Newal,PlayStation 4,65,19,5.1,53,Honey Parade Games,M,Action
Pocket Pool,PSP,37,19,tbd,,Conspiracy Entertainment,M,Sports
Sine Mora EX,Switch,70,11,7.3,26,Grasshopper Manufacture,M,Action
Gravity Falls: Legend of the Gnome Gemulets,3DS,46,4,6.8,18,Ubisoft Osaka,E,Action
Hellboy: The Science of Evil,PSP,42,14,6.5,17,Krome Studios,T,Action
Axiom Verge,PlayStation 4,84,61,7.8,202,Tom Happ,E10+,Sci-Fi
LEGO Pirates of the Caribbean: The Video Game,PC,73,11,7.0,47,Traveller's Tales,E10+,Action Adventure
Barnyard,Wii,65,15,5.8,8,Blue Tongue Entertainment,E10+,Action
Lionel Trains On Track,DS,47,4,tbd,,Black Lantern Studios,E,Simulation
Unbox: Newbie's Adventure,PlayStation 4,63,8,tbd,,Merge Games,E,Action
Terraria,Xbox One,84,5,7.9,49,"Engine Software, Pipeworks Software, Inc.",T,Action
Aeon Flux,PlayStation 2,66,19,6.2,11,Terminal Reality,T,Action Adventure
Dark Souls Trilogy,Xbox One,,,7.7,7,From Software,M,Miscellaneous
Samurai Warriors 2 Empires,Xbox 360,53,29,8.7,16,Omega Force,T,Action
Okami HD,Switch,89,32,8.5,206,Capcom,T,Action Adventure
Aragami,PlayStation 4,71,30,6.9,50,Lince Works,M,Action Adventure
The Da Vinci Code,Xbox,52,34,2.8,5,Double Helix Games,T,Action
Yonder: The Cloud Catcher Chronicles,PlayStation 4,64,39,7.6,54,Prideful Sloth,E,Action Adventure
The Chase: Felix Meets Felicity,DS,59,9,tbd,,Razorback Developments,E,Action
Headhunter: Redemption,PlayStation 2,62,29,7.1,11,Amuze,M,Action Adventure
Dead Rising 2,Xbox One,,,6.8,12,Blue Castle Games,M,Action Adventure
Thomas and Friends: Steaming Around Sodor,3DS,,,tbd,,Avanquest Software,,Action
Astro Boy: The Video Game,PSP,60,6,tbd,,High Voltage Software,E10+,Action
TMNT,DS,42,10,3.6,12,Ubisoft Quebec,E10+,Action
Aegis of Earth: Protonovus Assault,PlayStation 4,57,11,6.4,11,Acquire,T,Strategy
Kung Fu Panda: Showdown of Legendary Legends,PlayStation 3,,,6.2,5,"Vicious Cycle, Little Orbit",E10+,Action
DreamWorks The Croods: Prehistoric Party!,3DS,,,tbd,,Torus Games,E,Miscellaneous
Grand Theft Auto: Vice City,PC,94,30,8.8,2848,Rockstar North,M,Action Adventure
Stolen,PlayStation 2,51,16,7.2,21,Blue 52,T,Action Adventure
Dragon Ball: Advanced Adventure,Game Boy Advance,75,7,8.4,25,Dimps Corporation,E10+,Action
The Ripping Friends,Game Boy Advance,38,12,tbd,,Creations,E,Action
Super Army War,Game Boy Advance,58,8,tbd,,Atlus Co.,T,Action
Dead Rising,Xbox One,,,7.6,25,Capcom,M,Action Adventure
Cy Girls,PlayStation 2,53,28,8.8,4,KCEJ,M,Action Adventure
The Sum of All Fears,Game Boy Advance,69,8,tbd,,Red Storm Entertainment,T,Action Adventure
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Xbox,56,13,tbd,,Konami,E10+,Action
Hot Potato!,Game Boy Advance,74,7,7.8,5,Pukka Games,E,Action
Saints Row 2,PC,72,24,6.9,505,Volition Inc.,M,Action Adventure
Barbie and Her Sisters: Puppy Rescue,Wii,,,tbd,,"Torus Games, Little Orbit",E,Action
Sine Mora EX,Xbox One,80,7,8.1,7,Digital Reality,M,Action
Living Legends: Frozen Beauty,PC,,,tbd,,"Playrix Entertainment, 4 Friends Games",,Puzzle
Alienators: Evolution Continues,Game Boy Advance,54,4,tbd,,Digital Eclipse,E,Action
Pirates: Duels on the High Seas,DS,50,15,tbd,,Oxygen Interactive,E,Action
Bladestorm: Nightmare,PlayStation 3,,,7.6,5,Koei Tecmo Games,T,Action
inFamous: First Light,PlayStation 4,73,70,7.4,810,Sucker Punch,T,Action Adventure
Bounty Hounds,PSP,63,14,6.2,9,Xpec,T,Action
Metal Gear Solid: Snake Eater 3D,3DS,78,46,7.9,200,Kojima Productions,M,Action Adventure
LEGO City Undercover: The Chase Begins,3DS,62,44,6.7,76,Traveller's Tales,E10+,Action Adventure
Akiba's Beat,PlayStation Vita,,,6.1,8,Acquire,T,Role-Playing
Battle Assault 3 featuring Gundam Seed,PlayStation 2,48,9,7.9,9,Natsume,T,Action
Tomb Raider: Anniversary,PC,83,26,8.1,343,Nixxes Software,T,Action Adventure
Hitman: Blood Money,PC,82,35,8.8,788,Io Interactive,M,Action Adventure
Barbie and Her Sisters: Puppy Rescue,3DS,,,tbd,,"Torus Games, Little Orbit",E,Action
Metal Gear Solid HD Collection,PlayStation Vita,81,36,8.5,268,Armature Studio,M,Miscellaneous
CT Special Forces,Game Boy Advance,71,14,tbd,,LSP,T,Action
Raw Danger!,PlayStation 2,63,22,8.8,28,Irem,T,Action Adventure
Transformers: Devastation,PC,74,9,7.3,80,PlatinumGames,T,Action
Prince of Persia: The Forgotten Sands,PC,75,16,6.8,300,Ubisoft Montreal,T,Action Adventure
Kung Fu Panda: Showdown of Legendary Legends,Xbox 360,,,6.4,5,"Vicious Cycle, Little Orbit",E10+,Action
Top Gun: Hard Lock,PlayStation 3,,,7.2,13,505 Games,T,Action
Dance Factory,PlayStation 2,56,22,6.1,8,Broadsword Interactive,E,Miscellaneous
RoadKill,GameCube,64,12,7.8,6,Terminal Reality,M,Driving
Playmobil Top Agents,DS,,,,,Dreamcatcher,E10+,Action
Aegis of Earth: Protonovus Assault,PlayStation 3,,,tbd,,Acquire,T,Strategy
Overlord II,PC,79,32,8.2,203,Triumph Studios,T,Action Adventure
Berserk and the Band of the Hawk,PlayStation Vita,,,8.5,18,Omega Force,M,Action
Code Lyoko: Quest for Infinity,PSP,,,tbd,,Neko Entertainment,E10+,Action
Labyrinth of Refrain: Coven of Dusk,PlayStation 4,75,9,7.0,23,Nippon Ichi Software,M,Role-Playing
