Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Assassin's Creed Syndicate,PlayStation 4,2015.0,Historic,Ubisoft  ,0.9,2.06,0.08,0.55,3.6,76.0,86.0,6.9,2104.0,Ubisoft Quebec,M
Grand Theft Auto: Liberty City Stories,PlayStation 2,2006.0,Action Adventure,Rockstar Games  ,1.56,1.4,0.07,0.5,3.54,78.0,49.0,7.9,182.0,Rockstar Leeds,M
The Getaway,PlayStation 2,2003.0,Action Adventure,Sony Computer Entertainment  ,1.23,1.77,0.05,0.49,3.54,72.0,49.0,7.0,110.0,Team Soho,M
Batman: Arkham Asylum,Xbox 360,2009.0,Action Adventure,Eidos Interactive  ,2.24,0.95,0.02,0.33,3.54,92.0,78.0,8.7,1329.0,Rocksteady Studios,T
Assassin's Creed: Brotherhood,Xbox 360,2010.0,Action Adventure,Ubisoft  ,2.87,0.39,0.03,0.25,3.53,89.0,81.0,8.4,872.0,Ubisoft Montreal,M
Resident Evil 5,Xbox 360,2009.0,Action Adventure,Capcom  ,2.13,0.93,0.12,0.34,3.53,83.0,91.0,7.4,679.0,Capcom,M
Grand Theft Auto 2,PlayStation,1999.0,Action Adventure,Rockstar Games  ,1.13,2.07,0.0,0.22,3.42,70.0,15.0,7.7,124.0,DMA Design,T
Spider-Man 2,PlayStation 2,2004.0,Action Adventure,Activision  ,1.75,1.2,0.02,0.43,3.41,80.0,50.0,8.7,239.0,Treyarch,T
Watch Dogs 2,PlayStation 4,2016.0,Action Adventure,Ubisoft  ,0.98,1.74,0.12,0.52,3.36,82.0,95.0,7.6,1724.0,Ubisoft Montreal,M
Star Wars Episode III: Revenge of the Sith,PlayStation 2,2005.0,Action Adventure,LucasArts  ,1.47,1.39,0.03,0.43,3.32,60.0,34.0,7.3,113.0,Double Helix Games,T
The Lord of the Rings: The Return of the King,PlayStation 2,2003.0,Action,Electronic Arts  ,1.5,1.28,0.05,0.46,3.28,85.0,31.0,8.6,175.0,EA Games,T
True Crime: Streets of LA,PlayStation 2,2003.0,Action Adventure,Activision  ,1.89,1.05,0.02,0.31,3.27,77.0,39.0,7.8,112.0,"Luxoflux, Inc.",M
