Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Zorro: Quest For Justice,DS,2010.0,Action,505 Games  ,0.01,0.0,0.0,0.0,0.01,,,,,Beast Studios,E10+
Hugo: The Evil Mirror,Game Boy Advance,2005.0,Action,Namco  ,0.01,0.0,0.0,0.0,0.01,58.0,15.0,,,ITE Media,E
Painkiller: Hell & Damnation,PC,2012.0,Action,Nordic Games  ,0.0,0.01,0.0,0.0,0.01,64.0,33.0,6.5,190.0,The Farm 51,M
Disney Universe,PC,2011.0,Action Adventure,Disney Interactive Studios  ,0.01,0.0,0.0,0.0,0.01,,,7.8,6.0,"Eurocom Entertainment Software, Eurocom",E10+
Hallowed Legends: Templar,PC,2015.0,Puzzle,Big Fish Games  ,0.0,0.01,0.0,0.0,0.01,,,,,Elephant Games,
PAIN,PlayStation 3,2009.0,Action,Sony Computer Entertainment  ,0.0,0.01,0.0,0.0,0.01,71.0,37.0,6.2,42.0,Idol Minds,T
Boulder Dash-XL,PC,2011.0,Miscellaneous,Kalypso  ,0.0,0.01,0.0,0.0,0.01,,,,,Catnip Games,
Darksiders III,PC,2018.0,Action Adventure,THQ Nordic  ,0.0,0.01,0.0,0.0,0.01,70.0,43.0,7.1,594.0,"Gunfire Games, THQ Nordic",M
Fabled Legends: The Dark Piper,PC,2014.0,Miscellaneous,Big Fish Games  ,0.0,0.01,0.0,0.0,0.01,,,,,"Big Fish Games, Blue Tea Games",
Magus,PlayStation 3,2014.0,Action,Aksys Games  ,0.01,0.0,0.0,0.0,0.01,32.0,8.0,4.0,22.0,"Aksys Games, Black Tower Studios",T
Winx Club: Saving Alfea,DS,2014.0,Action,Little Orbit  ,0.01,0.0,0.0,0.0,0.01,,,,,"1st Playable Productions, Little Orbit",E
Ultimate Spider-Man,PC,2005.0,Action,Activision  ,0.01,0.0,0.0,0.0,0.01,75.0,26.0,8.1,124.0,Beenox,T
The Escapists: The Walking Dead,PlayStation 4,2016.0,Action,Team17 Software  ,0.0,0.0,0.0,0.0,0.01,63.0,5.0,6.7,9.0,Team17,T
Garfield and His Nine Lives,Game Boy Advance,2006.0,Action,Game Factory  ,0.0,0.0,0.0,0.0,0.01,56.0,9.0,7.0,5.0,Lucky Jump,E
The Mighty Quest for Epic Loot,PC,2015.0,Action Adventure,Ubisoft  ,0.0,0.0,0.0,0.0,0.01,64.0,9.0,5.6,95.0,Ubisoft Montreal,T
Battle B-Daman,Game Boy Advance,2006.0,Action,Atlus  ,0.0,0.0,0.0,0.0,0.01,62.0,5.0,7.2,5.0,Atlus Co.,E
Zero Escape: Zero Time Dilemma,PlayStation Vita,2016.0,Adventure,Aksys Games  ,0.06,0.0,0.04,0.02,0.11,83.0,31.0,8.2,148.0,"Spike Chunsoft, Chime",M
Elebits: The Adventures of Kai and Zero,DS,2009.0,Adventure,Konami  ,0.07,0.0,0.0,0.01,0.08,75.0,15.0,8.3,4.0,Konami,E
Red Dead Redemption 2,PlayStation 4,2018.0,Action Adventure,Rockstar Games  ,5.26,6.21,0.21,2.26,13.94,97.0,99.0,8.6,17611.0,Rockstar Games,M
Assassin's Creed III,PlayStation 3,2012.0,Action Adventure,Ubisoft  ,2.65,2.61,0.16,1.08,6.5,85.0,41.0,6.9,1588.0,Ubisoft,M
Red Dead Redemption 2,Xbox One,2018.0,Action Adventure,Rockstar Games  ,3.76,1.47,0.0,0.54,5.77,97.0,33.0,8.0,4002.0,Rockstar Games,M
Assassin's Creed III,Xbox 360,2012.0,Action Adventure,Ubisoft  ,3.13,1.71,0.03,0.45,5.31,84.0,61.0,6.8,1356.0,Ubisoft,M
Watch Dogs,PlayStation 4,2014.0,Modern,Ubisoft  ,1.4,2.13,0.11,0.68,4.32,80.0,80.0,6.5,3617.0,Ubisoft Montreal,M
Assassin's Creed IV: Black Flag,PlayStation 3,2013.0,Action Adventure,Ubisoft  ,1.34,1.86,0.13,0.62,3.94,88.0,36.0,8.2,1064.0,Ubisoft,M
Assassin's Creed IV: Black Flag,Xbox 360,2013.0,Action Adventure,Ubisoft  ,1.9,1.14,0.01,0.3,3.34,86.0,35.0,8.0,864.0,Ubisoft,M
Assassin's Creed IV: Black Flag,PlayStation 4,2013.0,Action Adventure,Ubisoft  ,1.07,1.55,0.06,0.51,3.19,83.0,29.0,7.9,2449.0,Ubisoft,M
Assassin's Creed Odyssey,PlayStation 4,2018.0,Action Adventure,Ubisoft  ,1.18,1.4,0.09,0.51,3.18,83.0,86.0,6.5,3237.0,Ubisoft,M
Mafia III,PlayStation 4,2016.0,Action Adventure,2K Games  ,0.72,1.67,0.04,0.44,2.87,68.0,67.0,5.3,1858.0,Hangar 13,M
Kinect: Disneyland Adventures,Xbox 360,2011.0,Action Adventure,Microsoft Studios  ,1.73,0.43,0.02,0.23,2.41,73.0,33.0,3.2,75.0,Frontier Developments,E10+
Batman: Arkham Origins,PlayStation 3,2013.0,Action Adventure,Warner Bros. Interactive Entertainment  ,1.08,0.88,0.04,0.4,2.4,76.0,46.0,7.8,903.0,WB Games Montreal,T
No Man's Sky,PlayStation 4,2016.0,Action,Hello Games  ,0.89,0.97,0.04,0.37,2.26,71.0,96.0,4.8,5400.0,Hello Games,T
Just Cause 3,PlayStation 4,2015.0,Sci-Fi,Square Enix  ,0.53,1.07,0.09,0.3,1.98,73.0,42.0,6.4,750.0,Avalanche Studios,M
Batman: Arkham Origins,Xbox 360,2013.0,Action Adventure,Warner Bros. Interactive Entertainment  ,1.15,0.58,0.0,0.17,1.9,74.0,46.0,7.6,781.0,WB Games Montreal,T
Watch Dogs,PlayStation 3,2014.0,Miscellaneous,Ubisoft  ,0.56,0.89,0.1,0.28,1.83,,,5.4,441.0,Ubisoft Montreal,M
Shadow of the Tomb Raider,PlayStation 4,2018.0,Action Adventure,Square Enix  ,0.59,0.82,0.06,0.27,1.74,75.0,63.0,7.3,1388.0,Eidos Montreal,M
LEGO Batman 2: DC Super Heroes,Xbox 360,2012.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.9,0.64,0.0,0.15,1.69,79.0,59.0,7.2,137.0,TT Games,E10+
Watch Dogs,Xbox One,2014.0,Action Adventure,Ubisoft  ,0.91,0.59,0.0,0.15,1.64,78.0,15.0,6.1,827.0,Ubisoft Montreal,M
Tomb Raider: Definitive Edition,PlayStation 4,2014.0,Modern,Square Enix  ,0.47,0.74,0.06,0.23,1.51,85.0,54.0,8.1,1772.0,"Crystal Dynamics, Nixxes Software",M
Assassin's Creed Odyssey,Xbox One,2018.0,Action Adventure,Ubisoft  ,0.91,0.35,0.0,0.13,1.39,87.0,34.0,6.3,836.0,Ubisoft,M
The LEGO Movie Videogame,Xbox 360,2014.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.69,0.51,0.0,0.11,1.32,69.0,8.0,7.5,33.0,TT Games,E10+
The Last Guardian,PlayStation 4,2016.0,Fantasy,Sony Interactive Entertainment  ,0.4,0.58,0.13,0.19,1.29,82.0,110.0,7.9,2589.0,SCE Japan Studio,T
Watch Dogs,Xbox 360,2014.0,Miscellaneous,Ubisoft  ,0.73,0.44,0.01,0.11,1.29,,,5.3,372.0,Ubisoft Montreal,M
LEGO Batman 2: DC Super Heroes,PlayStation 3,2012.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.5,0.54,0.0,0.19,1.23,81.0,28.0,7.5,100.0,Traveller's Tales,E10+
Metal Gear Solid V: Ground Zeroes,PlayStation 4,2014.0,Action Adventure,Konami Digital Entertainment  ,0.36,0.5,0.17,0.17,1.2,75.0,70.0,6.4,1484.0,Kojima Productions,M
Shadow of the Colossus,PlayStation 4,2018.0,Action Adventure,Sony Interactive Entertainment  ,0.44,0.52,0.05,0.19,1.2,91.0,100.0,7.7,2416.0,"Bluepoint Games, SCE Japan Studio",T
Mafia III,Xbox One,2016.0,Action Adventure,2K Games  ,0.54,0.48,0.0,0.09,1.11,67.0,21.0,5.0,425.0,Hangar 13,M
Sleeping Dogs,PlayStation 3,2012.0,Action Adventure,Square Enix  ,0.31,0.5,0.05,0.17,1.04,83.0,40.0,7.7,722.0,United Front Games,M
Just Cause 3,Xbox One,2015.0,Sci-Fi,Square Enix  ,0.52,0.41,0.0,0.09,1.01,71.0,24.0,6.9,255.0,Avalanche Studios,M
Tom Clancy's Splinter Cell: Blacklist,Xbox 360,2013.0,Action Adventure,Ubisoft  ,0.57,0.33,0.01,0.09,1.0,82.0,58.0,7.6,424.0,Ubisoft Toronto,M
Tom Clancy's Splinter Cell: Blacklist,PlayStation 3,2013.0,Action Adventure,Ubisoft  ,0.34,0.44,0.06,0.15,0.98,84.0,27.0,7.8,368.0,Ubisoft Toronto,M
The LEGO Movie Videogame,PlayStation 3,2014.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.33,0.47,0.03,0.16,0.98,80.0,5.0,6.9,17.0,TT Games,E10+
Sea of Thieves,Xbox One,2018.0,Role-Playing,Microsoft Studios  ,0.6,0.27,0.0,0.09,0.96,69.0,71.0,5.3,2090.0,Rare Ltd.,T
Assassin's Creed III,PC,2012.0,Action Adventure,Ubisoft  ,0.28,0.54,0.0,0.07,0.89,80.0,21.0,6.4,2231.0,Ubisoft,M
Sleeping Dogs,Xbox 360,2012.0,Modern,Square Enix  ,0.38,0.4,0.01,0.08,0.87,80.0,47.0,8.0,511.0,United Front Games,M
Paper Mario: Color Splash,Wii U,2016.0,Role-Playing,Nintendo  ,0.35,0.37,0.08,0.06,0.87,76.0,74.0,7.1,437.0,"Nintendo, Intelligent Systems",E
LEGO Batman 2: DC Super Heroes,3DS,2012.0,Modern,Warner Bros. Interactive Entertainment  ,0.42,0.37,0.0,0.07,0.86,72.0,6.0,5.5,27.0,TT Games,E10+
Darksiders II,PlayStation 3,2012.0,Action Adventure,THQ  ,0.35,0.37,0.01,0.13,0.85,84.0,39.0,7.2,468.0,Vigil Games,M
Darksiders II,Xbox 360,2012.0,Action Adventure,THQ  ,0.45,0.27,0.0,0.07,0.79,83.0,63.0,8.2,513.0,Vigil Games,M
Shadow of the Tomb Raider,Xbox One,2018.0,Action Adventure,Square Enix  ,0.46,0.25,0.0,0.07,0.78,82.0,56.0,7.3,535.0,Eidos Montreal,M
The LEGO Movie Videogame,3DS,2014.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.28,0.33,0.05,0.05,0.72,,,5.6,15.0,TT Games,E10+
The LEGO Movie Videogame,PlayStation 4,2014.0,Fantasy,Warner Bros. Interactive Entertainment  ,0.26,0.32,0.01,0.11,0.71,71.0,31.0,7.1,113.0,TT Games,E10+
LEGO Batman 2: DC Super Heroes,DS,2012.0,Modern,Warner Bros. Interactive Entertainment  ,0.39,0.25,0.0,0.06,0.71,,,6.4,5.0,TT Games,E10+
Disney Infinity,Wii U,2013.0,Action Adventure,Disney Interactive Studios  ,0.37,0.24,0.0,0.06,0.67,71.0,10.0,7.5,60.0,Avalanche Software,E10+
The LEGO Movie Videogame,Wii U,2014.0,Fantasy,Warner Bros. Interactive Entertainment  ,0.33,0.24,0.03,0.05,0.66,68.0,5.0,7.7,29.0,TT Games,E10+
Tomb Raider: Definitive Edition,Xbox One,2014.0,Modern,Square Enix  ,0.38,0.22,0.0,0.06,0.66,86.0,18.0,7.8,608.0,"Crystal Dynamics, United Front Games",M
The LEGO Movie Videogame,Xbox One,2014.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.42,0.17,0.0,0.06,0.65,69.0,18.0,6.8,58.0,TT Games,E10+
Assassin's Creed IV: Black Flag,PC,2013.0,Action Adventure,Ubisoft  ,0.24,0.34,0.0,0.05,0.63,84.0,10.0,7.9,2374.0,Ubisoft,M
LEGO The Hobbit,PlayStation 4,2014.0,Historic,Warner Bros. Interactive Entertainment  ,0.14,0.39,0.0,0.1,0.62,72.0,47.0,6.6,111.0,TT Games,E10+
Gravity Rush,PlayStation Vita,2012.0,Action,Sony Computer Entertainment  ,0.21,0.2,0.09,0.1,0.6,83.0,73.0,8.6,725.0,SCE Japan Studio,T
Metal Gear Solid V: Ground Zeroes,PlayStation 3,2014.0,Action Adventure,Konami Digital Entertainment  ,0.13,0.13,0.28,0.05,0.59,66.0,5.0,6.2,270.0,Kojima Productions,M
Starlink: Battle for Atlas,Switch,2018.0,Simulation,Ubisoft  ,0.35,0.17,0.0,0.05,0.57,74.0,63.0,7.8,220.0,Ubisoft Toronto,E10+
Metroid: Samus Returns,3DS,2017.0,Action Adventure,Nintendo  ,0.3,0.15,0.07,0.05,0.56,85.0,83.0,8.7,588.0,Mercury Steam,E10+
Hitman 2,PlayStation 4,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.19,0.22,0.02,0.08,0.51,82.0,70.0,8.3,777.0,Io Interactive,M
Watch Dogs,PC,2014.0,Miscellaneous,Ubisoft  ,0.19,0.27,0.0,0.04,0.49,77.0,18.0,5.4,3974.0,Ubisoft Montreal,M
Batman: Arkham Origins Blackgate,PlayStation Vita,2013.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.16,0.21,0.0,0.11,0.48,61.0,38.0,6.8,135.0,Armature Studio,T
LEGO The Hobbit,PlayStation 3,2014.0,Historic,Warner Bros. Interactive Entertainment  ,0.12,0.28,0.0,0.07,0.47,,,7.2,13.0,TT Games,E10+
State of Decay 2,Xbox One,2018.0,Action Adventure,Microsoft Studios  ,0.27,0.14,0.0,0.04,0.46,66.0,70.0,5.5,916.0,Undead Labs,M
LEGO DC Super-Villains,PlayStation 4,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.22,0.17,0.0,0.08,0.46,74.0,42.0,7.0,50.0,TT Games,E10+
LEGO The Hobbit,Xbox 360,2014.0,Historic,Warner Bros. Interactive Entertainment  ,0.2,0.22,0.0,0.04,0.46,70.0,4.0,8.4,17.0,TT Games,E10+
LEGO DC Super-Villains,Switch,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.28,0.12,0.0,0.04,0.44,75.0,10.0,7.5,29.0,TT Games,E10+
LEGO The Lord of the Rings,3DS,2012.0,Miscellaneous,Warner Bros. Interactive Entertainment  ,0.21,0.17,0.0,0.03,0.41,61.0,4.0,7.6,16.0,TT Games,E10+
LEGO Harry Potter: Years 5-7,3DS,2011.0,Action Adventure,Warner Bros. Interactive  ,0.18,0.19,0.0,0.03,0.41,71.0,7.0,6.7,14.0,Traveller's Tales,E10+
Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action Adventure,Konami  ,0.03,0.0,0.0,0.0,0.03,78.0,46.0,7.9,200.0,Kojima Productions,M
Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action Adventure,Konami Digital Entertainment  ,0.15,0.12,0.1,0.02,0.39,78.0,46.0,7.9,200.0,Kojima Productions,M
LEGO Batman 2: DC Super Heroes,PlayStation Vita,2012.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.16,0.13,0.0,0.08,0.37,62.0,9.0,6.6,55.0,TT Games,E10+
Resident Evil: Origins Collection,PlayStation 4,2016.0,Miscellaneous,Capcom  ,0.07,0.18,0.07,0.05,0.37,,,8.2,116.0,Capcom,M
Assassin's Creed III,Wii U,2012.0,Action Adventure,Ubisoft  ,0.19,0.14,0.0,0.03,0.36,85.0,26.0,7.2,260.0,Ubisoft Quebec,M
Gravity Rush 2,PlayStation 4,2017.0,Action,Sony Interactive Entertainment  ,0.13,0.05,0.13,0.04,0.35,80.0,94.0,8.1,637.0,SCE Japan Studio,T
Murdered: Soul Suspect,PlayStation 4,2014.0,Action,Square Enix  ,0.09,0.17,0.02,0.05,0.33,59.0,60.0,6.8,450.0,Airtight Games,M
Batman: Arkham Origins,Wii U,2013.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.19,0.1,0.0,0.03,0.32,68.0,5.0,7.5,155.0,Human Head Studios,T
Sonic Boom: Rise of Lyric,Wii U,2014.0,General,Sega  ,0.19,0.09,0.0,0.03,0.31,32.0,28.0,3.5,672.0,Big Red Button Entertainment,E10+
The LEGO Movie Videogame,PlayStation Vita,2014.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.04,0.2,0.0,0.07,0.31,,,5.8,16.0,TT Games,E10+
LEGO Ninjago: Shadow of Ronin,3DS,2015.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.05,0.19,0.05,0.02,0.31,,,,,TT Fusion,E10+
Sorcery,PlayStation 3,2012.0,Role-Playing,Sony Computer Entertainment  ,0.14,0.11,0.0,0.05,0.3,70.0,52.0,7.4,60.0,The Workshop,E10+
LEGO DC Super-Villains,Xbox One,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.2,0.07,0.0,0.03,0.3,72.0,18.0,8.0,22.0,TT Games,E10+
Assassin's Creed IV: Black Flag,Wii U,2013.0,Action Adventure,Ubisoft  ,0.17,0.1,0.0,0.03,0.29,86.0,5.0,7.7,245.0,Ubisoft,M
Just Cause 4,Xbox One,2018.0,Action Adventure,Square Enix  ,0.17,0.09,0.0,0.03,0.29,70.0,24.0,5.8,155.0,Avalanche Studios,M
How to Train Your Dragon 2,3DS,2014.0,Action Adventure,Little Orbit  ,0.04,0.22,0.0,0.02,0.28,,,,,Torus Games,E10+
LEGO The Hobbit,Xbox One,2014.0,Historic,Warner Bros. Interactive Entertainment  ,0.13,0.13,0.0,0.02,0.27,69.0,20.0,6.9,39.0,TT Games,E10+
Metal Gear Solid V: Ground Zeroes,Xbox One,2014.0,Action Adventure,Konami Digital Entertainment  ,0.13,0.13,0.0,0.02,0.27,76.0,13.0,5.7,390.0,Kojima Productions,M
Family Guy: Back to the Multiverse,PlayStation 3,2012.0,Action,Activision  ,0.12,0.11,0.0,0.05,0.27,40.0,9.0,6.2,34.0,Heavy Iron Studios,M
Batman: Arkham Origins Blackgate,3DS,2013.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.16,0.09,0.0,0.02,0.27,68.0,7.0,7.0,54.0,Armature Studio,T
Robinson: The Journey,PlayStation 4,2016.0,Action Adventure,Sony Interactive Entertainment  ,0.14,0.09,0.0,0.05,0.27,64.0,46.0,6.6,94.0,Crytek,E
Shenmue I & II,PlayStation 4,2018.0,Miscellaneous,Sega  ,0.09,0.1,0.05,0.04,0.27,75.0,32.0,8.3,272.0,"Sega, d3t Ltd",T
ReCore,Xbox One,2016.0,Action Adventure,Microsoft Studios  ,0.16,0.06,0.01,0.02,0.26,63.0,75.0,6.7,627.0,"Armature Studio, comcept",T
LEGO The Hobbit,3DS,2014.0,Historic,Warner Bros. Interactive Entertainment  ,0.1,0.13,0.0,0.02,0.25,,,7.4,7.0,TT Games,E10+
Spirit Camera: The Cursed Memoir,3DS,2012.0,Action Adventure,Nintendo  ,0.15,0.02,0.06,0.02,0.25,54.0,35.0,6.4,34.0,Tecmo Koei Games,T
Family Guy: Back to the Multiverse,Xbox 360,2012.0,Action,Activision  ,0.14,0.09,0.0,0.02,0.25,39.0,28.0,4.9,54.0,Heavy Iron Studios,M
Darksiders II: Deathinitive Edition,PlayStation 4,2015.0,Action Adventure,Nordic Games  ,0.1,0.1,0.0,0.04,0.24,72.0,28.0,7.4,243.0,Gunfire Games,M
LEGO The Hobbit,Wii U,2014.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.09,0.11,0.0,0.02,0.23,,,7.8,13.0,TT Games,E10+
No Man's Sky,Xbox One,2018.0,Action Adventure,505 Games  ,0.17,0.04,0.0,0.02,0.23,77.0,33.0,7.5,236.0,Hello Games,T
Hitman 2,Xbox One,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.14,0.06,0.0,0.02,0.22,84.0,25.0,7.8,156.0,Io Interactive,M
Judgment,PlayStation 4,2019.0,Action Adventure,Sega  ,0.0,0.0,0.22,0.0,0.22,80.0,83.0,8.5,439.0,Ryu ga Gotoku Studios,M
Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,Action Adventure,Ubisoft  ,0.06,0.14,0.0,0.02,0.21,82.0,13.0,7.5,934.0,Ubisoft Toronto,M
Conan Exiles,PlayStation 4,2018.0,Action Adventure,Maximum Games  ,0.05,0.05,0.09,0.02,0.21,68.0,32.0,5.3,185.0,Funcom,M
State of Decay: Year One Survival Edition,Xbox One,2015.0,Horror,Microsoft Studios  ,0.14,0.05,0.0,0.02,0.21,72.0,47.0,6.9,188.0,Undead Labs,M
Castlevania: Lords of Shadow 2,PlayStation 3,2014.0,Fantasy,Konami Digital Entertainment  ,0.03,0.13,0.02,0.03,0.2,63.0,55.0,7.7,603.0,Mercury Steam,M
Code of Princess,3DS,2012.0,Role-Playing,Atlus  ,0.16,0.0,0.03,0.02,0.2,67.0,38.0,7.3,82.0,Studio Saizensen,T
Sleeping Dogs: Definitive Edition,Xbox One,2014.0,Action Adventure,Square Enix  ,0.1,0.09,0.0,0.02,0.2,75.0,18.0,8.1,118.0,United Front Games,M
How to Train Your Dragon 2,Wii,2014.0,Action Adventure,Little Orbit  ,0.04,0.14,0.0,0.01,0.19,,,,,Torus Games,E10+
How to Train Your Dragon 2,Xbox 360,2014.0,Action Adventure,Little Orbit  ,0.06,0.1,0.0,0.01,0.18,,,4.4,9.0,Torus Games,E10+
Murdered: Soul Suspect,Xbox One,2014.0,Action,Square Enix  ,0.08,0.07,0.0,0.01,0.17,51.0,17.0,7.1,168.0,Airtight Games,M
Dead Rising 4: Frank's Big Package,PlayStation 4,2017.0,Action Adventure,Capcom  ,0.08,0.05,0.0,0.03,0.16,72.0,40.0,5.8,65.0,Capcom Vancouver,M
Just Cause 3,PC,2015.0,Sci-Fi,Square Enix  ,0.03,0.12,0.0,0.01,0.16,74.0,50.0,5.8,821.0,Avalanche Studios,M
Naruto Powerful Shippuden,3DS,2013.0,Action,Namco Bandai Games  ,0.08,0.02,0.04,0.01,0.16,71.0,13.0,6.0,21.0,Inti Creates,E10+
Darksiders II,Wii U,2012.0,Modern,THQ  ,0.07,0.07,0.0,0.01,0.16,85.0,36.0,7.7,180.0,Vigil Games,M
Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013.0,Action Adventure,Konami Digital Entertainment  ,0.04,0.08,0.03,0.01,0.16,72.0,68.0,7.2,256.0,Mercury Steam,M
LEGO The Hobbit,PlayStation Vita,2014.0,Historic,Warner Bros. Interactive Entertainment  ,0.02,0.1,0.0,0.03,0.16,,,2.6,14.0,TT Games,E10+
Metal Gear Solid V: The Phantom Pain,Xbox 360,2015.0,Modern,Konami Digital Entertainment  ,0.1,0.05,0.0,0.01,0.16,,,7.4,220.0,"Kojima Productions, Moby Dick Studio",M
Assassin's Creed Rogue Remastered,PlayStation 4,2018.0,Action Adventure,Ubisoft  ,0.0,0.13,0.01,0.02,0.15,71.0,31.0,6.6,176.0,Ubisoft,M
Okami HD,PlayStation 3,2012.0,Fantasy,Capcom  ,0.0,0.0,0.14,0.0,0.14,90.0,44.0,9.0,394.0,HexaDrive,T
Murdered: Soul Suspect,PlayStation 3,2014.0,General,Square Enix  ,0.05,0.05,0.02,0.02,0.14,,,7.4,67.0,Airtight Games,M
We Happy Few,PlayStation 4,2018.0,Action Adventure,Gearbox Software  ,0.08,0.04,0.0,0.02,0.14,67.0,13.0,5.4,113.0,Compulsion Games,M
Rodea the Sky Soldier,Wii U,2015.0,Action,NIS America  ,0.1,0.02,0.01,0.01,0.14,45.0,31.0,6.4,84.0,"Prope, Kadokawa",E10+
Watch Dogs,Wii U,2014.0,Modern,Ubisoft  ,0.07,0.05,0.0,0.01,0.13,62.0,15.0,6.7,179.0,Ubisoft Romania,M
Tom Clancy's Splinter Cell: Blacklist,Wii U,2013.0,Action Adventure,Ubisoft  ,0.04,0.07,0.0,0.01,0.13,75.0,5.0,7.8,159.0,Ubisoft Toronto,M
LEGO Batman 2: DC Super Heroes,Wii U,2013.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.04,0.07,0.0,0.01,0.12,77.0,7.0,7.4,34.0,TT Games,E10+
Darksiders: Warmastered Edition,PlayStation 4,2016.0,Action Adventure,THQ Nordic  ,0.07,0.02,0.0,0.02,0.11,81.0,12.0,7.8,176.0,"Nordic Games Publishing, Kaiko",M
How to Train Your Dragon 2,PlayStation 3,2014.0,Action Adventure,Little Orbit  ,0.03,0.06,0.0,0.02,0.1,,,8.0,6.0,Torus Games,E10+
Terraria,PlayStation Vita,2013.0,Action,505 Games  ,0.0,0.01,0.09,0.0,0.1,85.0,17.0,8.0,115.0,Engine Software,T
Starlink: Battle for Atlas,PlayStation 4,2018.0,Simulation,Ubisoft  ,0.08,0.0,0.0,0.02,0.1,70.0,17.0,5.9,44.0,Ubisoft Toronto,E10+
Starlink: Battle for Atlas,Xbox One,2018.0,Simulation,Ubisoft  ,0.09,0.0,0.0,0.01,0.1,78.0,14.0,6.6,38.0,Ubisoft Toronto,E10+
Murdered: Soul Suspect,Xbox 360,2014.0,General,Square Enix  ,0.06,0.03,0.0,0.01,0.1,,,7.2,67.0,Airtight Games,M
Resident Evil 4,PlayStation 4,2016.0,Action Adventure,Capcom  ,0.07,0.0,0.01,0.02,0.1,82.0,20.0,8.4,634.0,Capcom,M
Resident Evil: Origins Collection,Xbox One,2016.0,Miscellaneous,Capcom  ,0.07,0.02,0.0,0.01,0.1,,,8.4,29.0,Capcom,M
We Happy Few,Xbox One,2018.0,Action Adventure,Gearbox Software  ,0.07,0.01,0.0,0.01,0.09,64.0,17.0,5.7,101.0,Compulsion Games,M
Castlevania: Lords of Shadow 2,Xbox 360,2014.0,Fantasy,Konami Digital Entertainment  ,0.02,0.06,0.0,0.01,0.09,70.0,22.0,7.8,265.0,Mercury Steam,M
Invizimals: The Alliance,PlayStation Vita,2014.0,Card Battle,Sony Computer Entertainment  ,0.0,0.07,0.0,0.02,0.09,69.0,16.0,6.8,17.0,Novarama,E10+
How to Train Your Dragon 2,Wii U,2014.0,Action Adventure,Little Orbit  ,0.03,0.05,0.0,0.01,0.08,47.0,4.0,5.3,11.0,Torus Games,E10+
Darksiders II: Deathinitive Edition,Xbox One,2015.0,Action Adventure,Nordic Games  ,0.05,0.03,0.0,0.01,0.08,75.0,10.0,7.5,50.0,"Gunfire Games, Kaiko",M
ARK: Survival Evolved,Switch,2018.0,Action Adventure,Studio Wildcard  ,0.07,0.0,0.0,0.01,0.08,29.0,12.0,2.5,60.0,Studio Wildcard,T
Disneyland Adventures,Xbox One,2017.0,Action Adventure,Microsoft Studios  ,0.05,0.01,0.0,0.01,0.07,67.0,9.0,5.6,25.0,Asobo Studio,E10+
Shenmue I & II,Xbox One,2018.0,Miscellaneous,Sega  ,0.05,0.01,0.0,0.01,0.07,72.0,10.0,7.8,75.0,"Sega, d3t Ltd",T
Penguins of Madagascar,3DS,2014.0,Action,Little Orbit  ,0.0,0.06,0.0,0.0,0.07,51.0,4.0,,,"Torus Games, Little Orbit",E
Conan Exiles,Xbox One,2018.0,Action Adventure,Maximum Games  ,0.05,0.01,0.0,0.01,0.06,64.0,9.0,5.5,55.0,Funcom,M
Assassin's Creed Odyssey,PC,2018.0,Action Adventure,Ubisoft  ,0.0,0.06,0.0,0.0,0.06,86.0,14.0,6.2,2207.0,Ubisoft,M
Rodea the Sky Soldier,3DS,2015.0,Action,NIS America  ,0.04,0.0,0.0,0.01,0.05,45.0,7.0,5.7,38.0,"Prope, Kadokawa",E10+
Hellblade: Senua's Sacrifice,PlayStation 4,2018.0,Fantasy,505 Games  ,0.03,0.01,0.0,0.01,0.05,81.0,68.0,7.9,1364.0,Ninja Theory,M
rain,PlayStation 3,2013.0,Miscellaneous,Sony Computer Entertainment  ,0.0,0.0,0.05,0.0,0.05,72.0,77.0,7.8,182.0,SCE Japan Studio,E10+
